audit_event_id,application_id,sequence,actor_type,actor_id,action,tool,object_type,object_id,outcome,correlation_id,timestamp
APP-000006-AUD-02,APP-000006,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000006,MORTGAGE_UNDERWRITING,RUN-APP-000006,2026-08-12
APP-000006-AUD-03,APP-000006,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000006,2026-08-12
APP-000006-AUD-04,APP-000006,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000006,COMPLETED,RUN-APP-000006,2026-08-12
APP-000006-AUD-05,APP-000006,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000006,COMPLETED,RUN-APP-000006,2026-08-12
APP-000006-AUD-06,APP-000006,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000006,23 evaluated,RUN-APP-000006,2026-08-12
APP-000006-AUD-07,APP-000006,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000006,1 flags,RUN-APP-000006,2026-08-12
APP-000006-AUD-08,APP-000006,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000006,DECLINE_RECOMMENDATION,RUN-APP-000006,2026-08-12
APP-000006-AUD-09,APP-000006,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000006,QUEUED,RUN-APP-000006,2026-08-12
APP-000007-AUD-01,APP-000007,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000007,GRANTED,RUN-APP-000007,2026-08-12
APP-000007-AUD-02,APP-000007,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000007,MORTGAGE_UNDERWRITING,RUN-APP-000007,2026-08-12
APP-000007-AUD-03,APP-000007,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000007,2026-08-12
APP-000007-AUD-04,APP-000007,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000007,COMPLETED,RUN-APP-000007,2026-08-12
APP-000007-AUD-05,APP-000007,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000007,COMPLETED,RUN-APP-000007,2026-08-12
APP-000007-AUD-06,APP-000007,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000007,25 evaluated,RUN-APP-000007,2026-08-12
APP-000007-AUD-07,APP-000007,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000007,2 flags,RUN-APP-000007,2026-08-12
APP-000007-AUD-08,APP-000007,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000007,DECLINE_RECOMMENDATION,RUN-APP-000007,2026-08-12
APP-000007-AUD-09,APP-000007,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000007,QUEUED,RUN-APP-000007,2026-08-12
APP-000008-AUD-01,APP-000008,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000008,GRANTED,RUN-APP-000008,2026-08-12
APP-000008-AUD-02,APP-000008,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000008,MORTGAGE_UNDERWRITING,RUN-APP-000008,2026-08-12
APP-000008-AUD-03,APP-000008,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000008,2026-08-12
APP-000008-AUD-04,APP-000008,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000008,COMPLETED,RUN-APP-000008,2026-08-12
APP-000008-AUD-05,APP-000008,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000008,COMPLETED,RUN-APP-000008,2026-08-12
APP-000008-AUD-06,APP-000008,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000008,24 evaluated,RUN-APP-000008,2026-08-12
APP-000008-AUD-07,APP-000008,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000008,0 flags,RUN-APP-000008,2026-08-12
APP-000008-AUD-08,APP-000008,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000008,MANUAL_REVIEW_REQUIRED,RUN-APP-000008,2026-08-12
APP-000008-AUD-09,APP-000008,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000008,QUEUED,RUN-APP-000008,2026-08-12
APP-000009-AUD-01,APP-000009,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000009,GRANTED,RUN-APP-000009,2026-08-12
APP-000009-AUD-02,APP-000009,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000009,MORTGAGE_UNDERWRITING,RUN-APP-000009,2026-08-12
APP-000009-AUD-03,APP-000009,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000009,2026-08-12
APP-000009-AUD-04,APP-000009,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000009,COMPLETED,RUN-APP-000009,2026-08-12
APP-000009-AUD-05,APP-000009,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000009,COMPLETED,RUN-APP-000009,2026-08-12
APP-000009-AUD-06,APP-000009,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000009,25 evaluated,RUN-APP-000009,2026-08-12
APP-000009-AUD-07,APP-000009,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000009,0 flags,RUN-APP-000009,2026-08-12
APP-000009-AUD-08,APP-000009,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000009,MANUAL_REVIEW_REQUIRED,RUN-APP-000009,2026-08-12
APP-000009-AUD-09,APP-000009,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000009,QUEUED,RUN-APP-000009,2026-08-12
APP-000010-AUD-01,APP-000010,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000010,GRANTED,RUN-APP-000010,2026-08-12
APP-000010-AUD-02,APP-000010,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000010,MORTGAGE_UNDERWRITING,RUN-APP-000010,2026-08-12
APP-000010-AUD-03,APP-000010,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000010,2026-08-12
APP-000010-AUD-04,APP-000010,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000010,COMPLETED,RUN-APP-000010,2026-08-12
APP-000010-AUD-05,APP-000010,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000010,COMPLETED,RUN-APP-000010,2026-08-12
APP-000010-AUD-06,APP-000010,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000010,24 evaluated,RUN-APP-000010,2026-08-12
APP-000010-AUD-07,APP-000010,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000010,0 flags,RUN-APP-000010,2026-08-12
APP-000010-AUD-08,APP-000010,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000010,APPROVE_RECOMMENDATION,RUN-APP-000010,2026-08-12
APP-000011-AUD-01,APP-000011,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000011,GRANTED,RUN-APP-000011,2026-08-12
APP-000011-AUD-02,APP-000011,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000011,MORTGAGE_UNDERWRITING,RUN-APP-000011,2026-08-12
APP-000011-AUD-03,APP-000011,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000011,2026-08-12
APP-000011-AUD-04,APP-000011,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000011,COMPLETED,RUN-APP-000011,2026-08-12
APP-000011-AUD-05,APP-000011,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000011,COMPLETED,RUN-APP-000011,2026-08-12
APP-000011-AUD-06,APP-000011,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000011,25 evaluated,RUN-APP-000011,2026-08-12
APP-000011-AUD-07,APP-000011,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000011,0 flags,RUN-APP-000011,2026-08-12
APP-000011-AUD-08,APP-000011,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000011,MANUAL_REVIEW_REQUIRED,RUN-APP-000011,2026-08-12
APP-000011-AUD-09,APP-000011,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000011,QUEUED,RUN-APP-000011,2026-08-12
APP-000012-AUD-01,APP-000012,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000012,GRANTED,RUN-APP-000012,2026-09-04
APP-000012-AUD-02,APP-000012,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000012,MORTGAGE_UNDERWRITING,RUN-APP-000012,2026-09-04
APP-000012-AUD-03,APP-000012,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-09-04,RESOLVED,RUN-APP-000012,2026-09-04
APP-000012-AUD-04,APP-000012,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000012,COMPLETED,RUN-APP-000012,2026-09-04
APP-000012-AUD-05,APP-000012,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000012,COMPLETED,RUN-APP-000012,2026-09-04
APP-000012-AUD-06,APP-000012,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000012,25 evaluated,RUN-APP-000012,2026-09-04
APP-000012-AUD-07,APP-000012,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000012,0 flags,RUN-APP-000012,2026-09-04
APP-000012-AUD-08,APP-000012,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000012,MANUAL_REVIEW_REQUIRED,RUN-APP-000012,2026-09-04
APP-000012-AUD-09,APP-000012,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000012,QUEUED,RUN-APP-000012,2026-09-04
APP-000013-AUD-01,APP-000013,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000013,GRANTED,RUN-APP-000013,2026-08-12
APP-000013-AUD-02,APP-000013,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000013,MORTGAGE_UNDERWRITING,RUN-APP-000013,2026-08-12
APP-000013-AUD-03,APP-000013,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000013,2026-08-12
APP-000013-AUD-04,APP-000013,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000013,COMPLETED,RUN-APP-000013,2026-08-12
APP-000013-AUD-05,APP-000013,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000013,COMPLETED,RUN-APP-000013,2026-08-12
APP-000013-AUD-06,APP-000013,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000013,23 evaluated,RUN-APP-000013,2026-08-12
APP-000013-AUD-07,APP-000013,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000013,0 flags,RUN-APP-000013,2026-08-12
APP-000013-AUD-08,APP-000013,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000013,APPROVE_RECOMMENDATION,RUN-APP-000013,2026-08-12
APP-000014-AUD-01,APP-000014,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000014,GRANTED,RUN-APP-000014,2026-08-12
APP-000014-AUD-02,APP-000014,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000014,MORTGAGE_UNDERWRITING,RUN-APP-000014,2026-08-12
APP-000014-AUD-03,APP-000014,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000014,2026-08-12
APP-000014-AUD-04,APP-000014,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000014,COMPLETED,RUN-APP-000014,2026-08-12
APP-000014-AUD-05,APP-000014,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000014,COMPLETED,RUN-APP-000014,2026-08-12
APP-000014-AUD-06,APP-000014,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000014,24 evaluated,RUN-APP-000014,2026-08-12
APP-000014-AUD-07,APP-000014,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000014,1 flags,RUN-APP-000014,2026-08-12
APP-000014-AUD-08,APP-000014,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000014,DECLINE_RECOMMENDATION,RUN-APP-000014,2026-08-12
APP-000014-AUD-09,APP-000014,9,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,route_to_human_review,router,human_reviews,APP-000014,QUEUED,RUN-APP-000014,2026-08-12
APP-000015-AUD-01,APP-000015,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000015,GRANTED,RUN-APP-000015,2026-08-12
APP-000015-AUD-02,APP-000015,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000015,MORTGAGE_UNDERWRITING,RUN-APP-000015,2026-08-12
APP-000015-AUD-03,APP-000015,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000015,2026-08-12
APP-000015-AUD-04,APP-000015,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000015,COMPLETED,RUN-APP-000015,2026-08-12
APP-000015-AUD-05,APP-000015,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000015,COMPLETED,RUN-APP-000015,2026-08-12
APP-000015-AUD-06,APP-000015,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000015,24 evaluated,RUN-APP-000015,2026-08-12
APP-000015-AUD-07,APP-000015,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000015,0 flags,RUN-APP-000015,2026-08-12
APP-000015-AUD-08,APP-000015,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000015,APPROVE_RECOMMENDATION,RUN-APP-000015,2026-08-12
APP-000016-AUD-01,APP-000016,1,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,authorise_case_access,authorisation,applications,APP-000016,GRANTED,RUN-APP-000016,2026-08-12
APP-000016-AUD-02,APP-000016,2,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,classify_request,intent_classifier,applications,APP-000016,MORTGAGE_UNDERWRITING,RUN-APP-000016,2026-08-12
APP-000016-AUD-03,APP-000016,3,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,select_policy_versions,policy_retrieval,policy_documents,as_of=2026-08-12,RESOLVED,RUN-APP-000016,2026-08-12
APP-000016-AUD-04,APP-000016,4,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,extract_document_fields,document_extraction,documents,APP-000016,COMPLETED,RUN-APP-000016,2026-08-12
APP-000016-AUD-05,APP-000016,5,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,run_calculations,calculation_engine,underwriting_calculations,APP-000016,COMPLETED,RUN-APP-000016,2026-08-12
APP-000016-AUD-06,APP-000016,6,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,evaluate_rules,rules_engine,rule_evaluations,APP-000016,25 evaluated,RUN-APP-000016,2026-08-12
APP-000016-AUD-07,APP-000016,7,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,screen_risk,risk_screening,risk_flags,APP-000016,0 flags,RUN-APP-000016,2026-08-12
APP-000016-AUD-08,APP-000016,8,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,produce_recommendation,decision_composer,decisions,APP-000016,MANUAL_REVIEW_REQUIRED,RUN-APP-000016,2026-08-12
