liability_id,application_id,liability_type,creditor,balance,monthly_payment,remaining_term_months,credit_limit,include_in_dti,inclusion_rule_id,source
APP-000009-LIA-02,APP-000009,student_loan,Sablefield Mortgage Servicing,13856.01,188.84,96,0,true,LIA-INC-001,credit_report
APP-000009-LIA-03,APP-000009,revolving_credit_card,Pinnacle Auto Finance,5810.33,174.31,,20751.18,true,LIA-INC-003,credit_report
APP-000009-LIA-04,APP-000009,installment_personal,Sablefield Mortgage Servicing,3763.86,116.20,36,0,true,LIA-INC-001,credit_report
APP-000010-LIA-01,APP-000010,auto_loan,Cascade Personal Loans,11326.31,271.17,48,0,true,LIA-INC-001,credit_report
APP-000010-LIA-02,APP-000010,student_loan,Sablefield Mortgage Servicing,15215.64,207.37,96,0,true,LIA-INC-001,credit_report
APP-000010-LIA-03,APP-000010,revolving_credit_card,Pinnacle Auto Finance,6380.67,191.42,,22788.11,true,LIA-INC-003,credit_report
APP-000010-LIA-04,APP-000010,installment_personal,Sablefield Mortgage Servicing,4133.45,127.61,36,0,true,LIA-INC-001,credit_report
APP-000011-LIA-01,APP-000011,auto_loan,Sablefield Mortgage Servicing,8478.13,202.98,48,0,true,LIA-INC-001,credit_report
APP-000011-LIA-02,APP-000011,student_loan,Northwind Card Services,11389.17,155.22,96,0,true,LIA-INC-001,credit_report
APP-000011-LIA-03,APP-000011,revolving_credit_card,Cascade Personal Loans,4776.00,143.28,,17057.14,true,LIA-INC-003,credit_report
APP-000011-LIA-04,APP-000011,installment_personal,Cascade Personal Loans,3094.01,95.52,36,0,true,LIA-INC-001,credit_report
APP-000012-LIA-01,APP-000012,auto_loan,Harborline Retail Credit,11745.66,281.21,48,0,true,LIA-INC-001,credit_report
APP-000012-LIA-02,APP-000012,student_loan,Harborline Retail Credit,15779.15,215.05,96,0,true,LIA-INC-001,credit_report
APP-000012-LIA-03,APP-000012,revolving_credit_card,Northwind Card Services,6616.67,198.50,,23630.96,true,LIA-INC-003,credit_report
APP-000012-LIA-04,APP-000012,installment_personal,Harborline Retail Credit,4286.66,132.34,36,0,true,LIA-INC-001,credit_report
APP-000013-LIA-01,APP-000013,auto_loan,Sablefield Mortgage Servicing,11210.61,268.40,48,0,true,LIA-INC-001,credit_report
APP-000013-LIA-02,APP-000013,student_loan,Sablefield Mortgage Servicing,15060.08,205.25,96,0,true,LIA-INC-001,credit_report
APP-000013-LIA-03,APP-000013,revolving_credit_card,Harborline Retail Credit,6315.33,189.46,,22554.75,true,LIA-INC-003,credit_report
APP-000013-LIA-04,APP-000013,installment_personal,Harborline Retail Credit,4091.02,126.30,36,0,true,LIA-INC-001,credit_report
APP-000014-LIA-01,APP-000014,auto_loan,Harborline Retail Credit,17504.26,419.08,48,0,true,LIA-INC-001,credit_report
APP-000014-LIA-02,APP-000014,student_loan,Harborline Retail Credit,23515.01,320.48,96,0,true,LIA-INC-001,credit_report
APP-000014-LIA-03,APP-000014,revolving_credit_card,Cascade Personal Loans,9860.67,295.82,,35216.68,true,LIA-INC-003,credit_report
APP-000014-LIA-04,APP-000014,installment_personal,Northwind Card Services,6388.20,197.22,36,0,true,LIA-INC-001,credit_report
APP-000015-LIA-01,APP-000015,auto_loan,Cascade Personal Loans,9295.95,222.56,48,0,true,LIA-INC-001,credit_report
APP-000015-LIA-02,APP-000015,student_loan,Harborline Retail Credit,12488.31,170.20,96,0,true,LIA-INC-001,credit_report
APP-000015-LIA-03,APP-000015,revolving_credit_card,Northwind Card Services,5236.67,157.10,,18702.39,true,LIA-INC-003,credit_report
APP-000015-LIA-04,APP-000015,installment_personal,Cascade Personal Loans,3392.66,104.74,36,0,true,LIA-INC-001,credit_report
APP-000016-LIA-01,APP-000016,auto_loan,Sablefield Mortgage Servicing,7760.97,185.81,48,0,true,LIA-INC-001,credit_report
APP-000016-LIA-02,APP-000016,student_loan,Sablefield Mortgage Servicing,10425.76,142.09,96,0,true,LIA-INC-001,credit_report
APP-000016-LIA-03,APP-000016,revolving_credit_card,Northwind Card Services,4372.00,131.16,,15614.29,true,LIA-INC-003,credit_report
APP-000016-LIA-04,APP-000016,installment_personal,Cascade Personal Loans,2831.97,87.43,36,0,true,LIA-INC-001,credit_report
APP-000017-LIA-01,APP-000017,auto_loan,Summit Education Lending,20782.23,497.56,48,0,true,LIA-INC-001,credit_report
APP-000017-LIA-02,APP-000017,student_loan,Summit Education Lending,27918.21,380.49,96,0,true,LIA-INC-001,credit_report
APP-000017-LIA-03,APP-000017,revolving_credit_card,Summit Education Lending,11707.33,351.22,,41811.89,true,LIA-INC-003,credit_report
APP-000017-LIA-04,APP-000017,installment_personal,Cascade Personal Loans,7584.09,234.14,36,0,true,LIA-INC-001,credit_report
APP-000018-LIA-01,APP-000018,auto_loan,Sablefield Mortgage Servicing,12781.10,306.00,48,0,true,LIA-INC-001,credit_report
APP-000018-LIA-02,APP-000018,student_loan,Sablefield Mortgage Servicing,17169.60,234.00,96,0,true,LIA-INC-001,credit_report
APP-000018-LIA-03,APP-000018,revolving_credit_card,Pinnacle Auto Finance,7200.00,216.00,,25714.29,true,LIA-INC-003,credit_report
APP-000018-LIA-04,APP-000018,installment_personal,Cascade Personal Loans,4664.67,144.01,36,0,true,LIA-INC-001,credit_report
APP-000019-LIA-01,APP-000019,auto_loan,Summit Education Lending,6728.87,161.10,48,0,true,LIA-INC-001,credit_report
APP-000019-LIA-02,APP-000019,student_loan,Sablefield Mortgage Servicing,9038.99,123.19,96,0,true,LIA-INC-001,credit_report
APP-000019-LIA-03,APP-000019,revolving_credit_card,Harborline Retail Credit,3790.67,113.72,,13538.11,true,LIA-INC-003,credit_report
APP-000019-LIA-04,APP-000019,installment_personal,Northwind Card Services,2455.58,75.81,36,0,true,LIA-INC-001,credit_report
APP-000020-LIA-01,APP-000020,auto_loan,Pinnacle Auto Finance,3548.63,84.96,48,0,true,LIA-INC-001,credit_report
APP-000020-LIA-02,APP-000020,student_loan,Harborline Retail Credit,4767.13,64.97,96,0,true,LIA-INC-001,credit_report
APP-000020-LIA-03,APP-000020,revolving_credit_card,Harborline Retail Credit,1999.00,59.97,,7139.29,true,LIA-INC-003,credit_report
APP-000020-LIA-04,APP-000020,installment_personal,Pinnacle Auto Finance,1295.33,39.99,36,0,true,LIA-INC-001,credit_report
APP-000021-LIA-01,APP-000021,auto_loan,Northwind Card Services,1651.52,39.54,48,0,true,LIA-INC-001,credit_report
APP-000021-LIA-02,APP-000021,student_loan,Summit Education Lending,2218.11,30.23,96,0,true,LIA-INC-001,credit_report
APP-000021-LIA-03,APP-000021,revolving_credit_card,Sablefield Mortgage Servicing,930.33,27.91,,3322.61,true,LIA-INC-003,credit_report
APP-000021-LIA-04,APP-000021,installment_personal,Sablefield Mortgage Servicing,602.48,18.60,36,0,true,LIA-INC-001,credit_report
APP-000022-LIA-01,APP-000022,auto_loan,Sablefield Mortgage Servicing,9787.56,234.33,48,0,true,LIA-INC-001,credit_report
APP-000022-LIA-02,APP-000022,student_loan,Summit Education Lending,13147.95,179.19,96,0,true,LIA-INC-001,credit_report
APP-000022-LIA-03,APP-000022,revolving_credit_card,Summit Education Lending,5513.67,165.41,,19691.68,true,LIA-INC-003,credit_report
APP-000022-LIA-04,APP-000022,installment_personal,Northwind Card Services,3572.11,110.28,36,0,true,LIA-INC-001,credit_report
APP-000023-LIA-01,APP-000023,auto_loan,Sablefield Mortgage Servicing,8892.89,212.91,48,0,true,LIA-INC-001,credit_report
APP-000023-LIA-02,APP-000023,student_loan,Sablefield Mortgage Servicing,11946.08,162.81,96,0,true,LIA-INC-001,credit_report
APP-000023-LIA-03,APP-000023,revolving_credit_card,Summit Education Lending,5009.67,150.29,,17891.68,true,LIA-INC-003,credit_report
APP-000023-LIA-04,APP-000023,installment_personal,Pinnacle Auto Finance,3245.28,100.19,36,0,true,LIA-INC-001,credit_report
APP-000024-LIA-01,APP-000024,auto_loan,Pinnacle Auto Finance,5827.93,139.53,48,0,true,LIA-INC-001,credit_report
APP-000024-LIA-02,APP-000024,student_loan,Summit Education Lending,7829.04,106.70,96,0,true,LIA-INC-001,credit_report
APP-000024-LIA-03,APP-000024,revolving_credit_card,Sablefield Mortgage Servicing,3283.00,98.49,,11725.00,true,LIA-INC-003,credit_report
APP-000024-LIA-04,APP-000024,installment_personal,Northwind Card Services,2127.13,65.67,36,0,true,LIA-INC-001,credit_report
APP-000025-LIA-01,APP-000025,auto_loan,Harborline Retail Credit,6777.32,162.26,48,0,true,LIA-INC-001,credit_report
APP-000025-LIA-02,APP-000025,student_loan,Cascade Personal Loans,9104.29,124.08,96,0,true,LIA-INC-001,credit_report
APP-000025-LIA-03,APP-000025,revolving_credit_card,Cascade Personal Loans,3818.00,114.54,,13635.71,true,LIA-INC-003,credit_report
APP-000025-LIA-04,APP-000025,installment_personal,Cascade Personal Loans,2473.40,76.36,36,0,true,LIA-INC-001,credit_report
APP-000026-LIA-01,APP-000026,auto_loan,Summit Education Lending,7935.98,190.00,48,0,true,LIA-INC-001,credit_report
APP-000026-LIA-02,APP-000026,student_loan,Pinnacle Auto Finance,10660.56,145.29,96,0,true,LIA-INC-001,credit_report
APP-000026-LIA-03,APP-000026,revolving_credit_card,Pinnacle Auto Finance,4470.67,134.12,,15966.68,true,LIA-INC-003,credit_report
APP-000026-LIA-04,APP-000026,installment_personal,Harborline Retail Credit,2896.10,89.41,36,0,true,LIA-INC-001,credit_report
APP-000027-LIA-01,APP-000027,auto_loan,Northwind Card Services,11587.36,277.42,48,0,true,LIA-INC-001,credit_report
APP-000027-LIA-02,APP-000027,student_loan,Harborline Retail Credit,15565.63,212.14,96,0,true,LIA-INC-001,credit_report
APP-000027-LIA-03,APP-000027,revolving_credit_card,Harborline Retail Credit,6527.33,195.82,,23311.89,true,LIA-INC-003,credit_report
APP-000027-LIA-04,APP-000027,installment_personal,Summit Education Lending,4228.68,130.55,36,0,true,LIA-INC-001,credit_report
APP-000028-LIA-01,APP-000028,auto_loan,Pinnacle Auto Finance,8322.75,199.26,48,0,true,LIA-INC-001,credit_report
APP-000028-LIA-02,APP-000028,student_loan,Sablefield Mortgage Servicing,11180.78,152.38,96,0,true,LIA-INC-001,credit_report
APP-000028-LIA-03,APP-000028,revolving_credit_card,Northwind Card Services,4688.67,140.66,,16745.25,true,LIA-INC-003,credit_report
APP-000028-LIA-04,APP-000028,installment_personal,Pinnacle Auto Finance,3037.33,93.77,36,0,true,LIA-INC-001,credit_report
APP-000029-LIA-01,APP-000029,auto_loan,Northwind Card Services,11188.47,267.87,48,0,true,LIA-INC-001,credit_report
APP-000029-LIA-02,APP-000029,student_loan,Summit Education Lending,15030.00,204.84,96,0,true,LIA-INC-001,credit_report
APP-000029-LIA-03,APP-000029,revolving_credit_card,Cascade Personal Loans,6302.67,189.08,,22509.54,true,LIA-INC-003,credit_report
APP-000029-LIA-04,APP-000029,installment_personal,Pinnacle Auto Finance,4083.24,126.06,36,0,true,LIA-INC-001,credit_report
APP-000030-LIA-01,APP-000030,auto_loan,Northwind Card Services,13589.31,325.35,48,0,true,LIA-INC-001,credit_report
APP-000030-LIA-02,APP-000030,student_loan,Pinnacle Auto Finance,18254.80,248.79,96,0,true,LIA-INC-001,credit_report
APP-000030-LIA-03,APP-000030,revolving_credit_card,Summit Education Lending,7655.33,229.66,,27340.46,true,LIA-INC-003,credit_report
APP-000030-LIA-04,APP-000030,installment_personal,Sablefield Mortgage Servicing,4959.10,153.10,36,0,true,LIA-INC-001,credit_report
APP-000031-LIA-01,APP-000031,auto_loan,Summit Education Lending,17137.11,410.29,48,0,true,LIA-INC-001,credit_report
APP-000031-LIA-02,APP-000031,student_loan,Harborline Retail Credit,23021.20,313.75,96,0,true,LIA-INC-001,credit_report
APP-000031-LIA-03,APP-000031,revolving_credit_card,Sablefield Mortgage Servicing,9654.00,289.62,,11492.86,true,LIA-INC-003,credit_report
APP-000031-LIA-04,APP-000031,installment_personal,Pinnacle Auto Finance,6254.10,193.08,36,0,true,LIA-INC-001,credit_report
APP-000032-LIA-01,APP-000032,auto_loan,Sablefield Mortgage Servicing,12154.57,291.00,48,0,true,LIA-INC-001,credit_report
APP-000032-LIA-02,APP-000032,student_loan,Cascade Personal Loans,16327.99,222.53,96,0,true,LIA-INC-001,credit_report
APP-000032-LIA-03,APP-000032,revolving_credit_card,Pinnacle Auto Finance,6847.00,205.41,,24453.57,true,LIA-INC-003,credit_report
APP-000032-LIA-04,APP-000032,installment_personal,Pinnacle Auto Finance,4435.66,136.94,36,0,true,LIA-INC-001,credit_report
APP-000033-LIA-01,APP-000033,auto_loan,Pinnacle Auto Finance,10790.00,258.33,48,0,true,LIA-INC-001,credit_report
APP-000033-LIA-02,APP-000033,student_loan,Sablefield Mortgage Servicing,14494.37,197.54,96,0,true,LIA-INC-001,credit_report
APP-000033-LIA-03,APP-000033,revolving_credit_card,Harborline Retail Credit,6078.33,182.35,,21708.32,true,LIA-INC-003,credit_report
APP-000033-LIA-04,APP-000033,installment_personal,Northwind Card Services,3937.48,121.56,36,0,true,LIA-INC-001,credit_report
APP-000034-LIA-01,APP-000034,auto_loan,Summit Education Lending,3887.79,93.08,48,0,true,LIA-INC-001,credit_report
APP-000034-LIA-02,APP-000034,student_loan,Northwind Card Services,5222.79,71.18,96,0,true,LIA-INC-001,credit_report
APP-000034-LIA-03,APP-000034,revolving_credit_card,Summit Education Lending,2190.00,65.70,,7821.43,true,LIA-INC-003,credit_report
APP-000034-LIA-04,APP-000034,installment_personal,Northwind Card Services,1418.74,43.80,36,0,true,LIA-INC-001,credit_report
APP-000035-LIA-01,APP-000035,auto_loan,Pinnacle Auto Finance,18193.02,435.57,48,0,true,LIA-INC-001,credit_report
APP-000035-LIA-02,APP-000035,student_loan,Harborline Retail Credit,24439.53,333.08,96,0,true,LIA-INC-001,credit_report
APP-000035-LIA-03,APP-000035,revolving_credit_card,Summit Education Lending,10248.67,307.46,,36602.39,true,LIA-INC-003,credit_report
APP-000035-LIA-04,APP-000035,installment_personal,Harborline Retail Credit,6639.24,204.97,36,0,true,LIA-INC-006,credit_report_only
APP-000036-LIA-01,APP-000036,auto_loan,Harborline Retail Credit,12591.05,301.45,48,0,true,LIA-INC-001,credit_report
APP-000036-LIA-02,APP-000036,student_loan,Northwind Card Services,16914.25,230.52,96,0,true,LIA-INC-001,credit_report
APP-000036-LIA-03,APP-000036,revolving_credit_card,Summit Education Lending,7093.00,212.79,,25332.14,true,LIA-INC-003,credit_report
APP-000036-LIA-04,APP-000036,installment_personal,Sablefield Mortgage Servicing,4595.35,141.87,36,0,true,LIA-INC-001,credit_report
APP-000037-LIA-01,APP-000037,auto_loan,Pinnacle Auto Finance,8151.92,195.17,48,0,true,LIA-INC-001,credit_report
APP-000037-LIA-02,APP-000037,student_loan,Sablefield Mortgage Servicing,10951.12,149.25,96,0,true,LIA-INC-001,credit_report
APP-000037-LIA-03,APP-000037,revolving_credit_card,Cascade Personal Loans,4592.33,137.77,,16401.18,true,LIA-INC-003,credit_report
APP-000037-LIA-04,APP-000037,installment_personal,Summit Education Lending,2975.14,91.85,36,0,true,LIA-INC-001,credit_report
APP-000038-LIA-01,APP-000038,auto_loan,Sablefield Mortgage Servicing,7146.14,171.09,48,0,true,LIA-INC-001,credit_report
APP-000038-LIA-02,APP-000038,student_loan,Harborline Retail Credit,9599.57,130.83,96,0,true,LIA-INC-001,credit_report
APP-000038-LIA-03,APP-000038,revolving_credit_card,Summit Education Lending,4025.67,120.77,,14377.39,true,LIA-INC-003,credit_report
APP-000038-LIA-04,APP-000038,installment_personal,Harborline Retail Credit,2608.14,80.52,36,0,true,LIA-INC-001,credit_report
APP-000039-LIA-01,APP-000039,auto_loan,Sablefield Mortgage Servicing,9903.68,237.11,48,0,true,LIA-INC-001,credit_report
APP-000039-LIA-02,APP-000039,student_loan,Summit Education Lending,13304.24,181.32,96,0,true,LIA-INC-001,credit_report
APP-000039-LIA-03,APP-000039,revolving_credit_card,Sablefield Mortgage Servicing,5579.00,167.37,,19925.00,true,LIA-INC-003,credit_report
APP-000039-LIA-04,APP-000039,installment_personal,Cascade Personal Loans,3614.54,111.59,36,0,true,LIA-INC-001,credit_report
APP-000040-LIA-01,APP-000040,auto_loan,Harborline Retail Credit,10391.53,248.79,48,0,true,LIA-INC-001,credit_report
APP-000040-LIA-02,APP-000040,student_loan,Summit Education Lending,13959.47,190.25,96,0,true,LIA-INC-001,credit_report
APP-000040-LIA-03,APP-000040,revolving_credit_card,Northwind Card Services,5854.00,175.62,,20907.14,true,LIA-INC-003,credit_report
APP-000040-LIA-04,APP-000040,installment_personal,Northwind Card Services,3792.04,117.07,36,0,true,LIA-INC-001,credit_report
APP-000041-LIA-01,APP-000041,auto_loan,Cascade Personal Loans,14407.97,344.95,48,0,true,LIA-INC-001,credit_report
APP-000041-LIA-02,APP-000041,student_loan,Cascade Personal Loans,19354.69,263.78,96,0,true,LIA-INC-001,credit_report
APP-000041-LIA-03,APP-000041,revolving_credit_card,Northwind Card Services,8116.33,243.49,,28986.89,true,LIA-INC-003,credit_report
APP-000041-LIA-04,APP-000041,installment_personal,Harborline Retail Credit,5258.07,162.33,36,0,true,LIA-INC-001,credit_report
APP-000042-LIA-01,APP-000042,auto_loan,Northwind Card Services,12470.76,298.57,48,0,true,LIA-INC-001,credit_report
APP-000042-LIA-02,APP-000042,student_loan,Pinnacle Auto Finance,16752.83,228.32,96,0,true,LIA-INC-001,credit_report
APP-000042-LIA-03,APP-000042,revolving_credit_card,Pinnacle Auto Finance,7025.33,210.76,,25090.46,true,LIA-INC-003,credit_report
APP-000042-LIA-04,APP-000042,installment_personal,Sablefield Mortgage Servicing,4551.30,140.51,36,0,true,LIA-INC-001,credit_report
APP-000043-LIA-01,APP-000043,auto_loan,Northwind Card Services,12821.20,306.96,48,0,true,LIA-INC-001,credit_report
APP-000043-LIA-02,APP-000043,student_loan,Pinnacle Auto Finance,17223.89,234.74,96,0,true,LIA-INC-001,credit_report
APP-000043-LIA-03,APP-000043,revolving_credit_card,Cascade Personal Loans,7222.67,216.68,,25795.25,true,LIA-INC-003,credit_report
APP-000043-LIA-04,APP-000043,installment_personal,Cascade Personal Loans,4678.92,144.45,36,0,true,LIA-INC-001,credit_report
APP-000044-LIA-01,APP-000044,auto_loan,Northwind Card Services,3452.15,82.65,48,0,true,LIA-INC-001,credit_report
APP-000044-LIA-02,APP-000044,student_loan,Cascade Personal Loans,4637.26,63.20,96,0,true,LIA-INC-001,credit_report
APP-000044-LIA-03,APP-000044,revolving_credit_card,Sablefield Mortgage Servicing,1944.67,58.34,,6945.25,true,LIA-INC-003,credit_report
APP-000044-LIA-04,APP-000044,installment_personal,Pinnacle Auto Finance,1259.70,38.89,36,0,true,LIA-INC-001,credit_report
APP-000045-LIA-01,APP-000045,auto_loan,Cascade Personal Loans,6751.43,161.64,48,0,true,LIA-INC-001,credit_report
APP-000045-LIA-02,APP-000045,student_loan,Pinnacle Auto Finance,9069.07,123.60,96,0,true,LIA-INC-001,credit_report
APP-000045-LIA-03,APP-000045,revolving_credit_card,Cascade Personal Loans,3803.33,114.10,,13583.32,true,LIA-INC-003,credit_report
APP-000045-LIA-04,APP-000045,installment_personal,Northwind Card Services,2463.68,76.06,36,0,true,LIA-INC-001,credit_report
APP-000046-LIA-01,APP-000046,auto_loan,Summit Education Lending,8310.22,198.96,48,0,true,LIA-INC-001,credit_report
APP-000046-LIA-02,APP-000046,student_loan,Pinnacle Auto Finance,11163.17,152.14,96,0,true,LIA-INC-001,credit_report
APP-000046-LIA-03,APP-000046,revolving_credit_card,Pinnacle Auto Finance,4681.33,140.44,,16719.04,true,LIA-INC-003,credit_report
APP-000046-LIA-04,APP-000046,installment_personal,Summit Education Lending,3032.79,93.63,36,0,true,LIA-INC-001,credit_report
APP-000047-LIA-01,APP-000047,auto_loan,Harborline Retail Credit,6240.60,149.41,48,0,true,LIA-INC-001,credit_report
APP-000047-LIA-02,APP-000047,student_loan,Harborline Retail Credit,8383.02,114.25,96,0,true,LIA-INC-001,credit_report
APP-000047-LIA-03,APP-000047,revolving_credit_card,Cascade Personal Loans,3515.33,105.46,,12554.75,true,LIA-INC-003,credit_report
APP-000047-LIA-04,APP-000047,installment_personal,Summit Education Lending,2277.43,70.31,36,0,true,LIA-INC-001,credit_report
APP-000048-LIA-01,APP-000048,auto_loan,Harborline Retail Credit,13423.08,321.37,48,0,true,LIA-INC-001,credit_report
APP-000048-LIA-02,APP-000048,student_loan,Sablefield Mortgage Servicing,18031.75,245.75,96,0,true,LIA-INC-001,credit_report
APP-000048-LIA-03,APP-000048,revolving_credit_card,Harborline Retail Credit,7561.67,226.85,,27005.96,true,LIA-INC-003,credit_report
APP-000048-LIA-04,APP-000048,installment_personal,Sablefield Mortgage Servicing,4898.85,151.24,36,0,true,LIA-INC-001,credit_report
APP-000049-LIA-01,APP-000049,auto_loan,Summit Education Lending,2734.57,65.47,48,0,true,LIA-INC-001,credit_report
APP-000049-LIA-02,APP-000049,student_loan,Harborline Retail Credit,3673.85,50.07,96,0,true,LIA-INC-001,credit_report
APP-000049-LIA-03,APP-000049,revolving_credit_card,Pinnacle Auto Finance,1540.67,46.22,,5502.39,true,LIA-INC-003,credit_report
APP-000049-LIA-04,APP-000049,installment_personal,Pinnacle Auto Finance,997.97,30.81,36,0,true,LIA-INC-001,credit_report
APP-000050-LIA-01,APP-000050,auto_loan,Sablefield Mortgage Servicing,14544.14,348.21,48,0,true,LIA-INC-001,credit_report
APP-000050-LIA-02,APP-000050,student_loan,Harborline Retail Credit,19538.12,266.28,96,0,true,LIA-INC-001,credit_report
APP-000050-LIA-03,APP-000050,revolving_credit_card,Northwind Card Services,8193.33,245.80,,29261.89,true,LIA-INC-003,credit_report
APP-000050-LIA-04,APP-000050,installment_personal,Harborline Retail Credit,5307.63,163.86,36,0,true,LIA-INC-001,credit_report
APP-000051-LIA-01,APP-000051,auto_loan,Pinnacle Auto Finance,9267.97,221.89,48,0,true,LIA-INC-001,credit_report
APP-000051-LIA-02,APP-000051,student_loan,Northwind Card Services,12450.16,169.68,96,0,true,LIA-INC-001,credit_report
APP-000051-LIA-03,APP-000051,revolving_credit_card,Cascade Personal Loans,5221.00,156.63,,18646.43,true,LIA-INC-003,credit_report
APP-000051-LIA-04,APP-000051,installment_personal,Pinnacle Auto Finance,3381.97,104.41,36,0,true,LIA-INC-001,credit_report
APP-000052-LIA-01,APP-000052,auto_loan,Sablefield Mortgage Servicing,2648.11,63.40,48,0,true,LIA-INC-001,credit_report
APP-000052-LIA-02,APP-000052,student_loan,Harborline Retail Credit,3557.19,48.48,96,0,true,LIA-INC-001,credit_report
APP-000052-LIA-03,APP-000052,revolving_credit_card,Harborline Retail Credit,1491.67,44.75,,5327.39,true,LIA-INC-003,credit_report
APP-000052-LIA-04,APP-000052,installment_personal,Northwind Card Services,966.23,29.83,36,0,true,LIA-INC-001,credit_report
APP-000053-LIA-01,APP-000053,auto_loan,Northwind Card Services,3223.68,77.18,48,0,true,LIA-INC-001,credit_report
APP-000053-LIA-02,APP-000053,student_loan,Cascade Personal Loans,4330.55,59.02,96,0,true,LIA-INC-001,credit_report
APP-000053-LIA-03,APP-000053,revolving_credit_card,Cascade Personal Loans,1816.00,54.48,,6485.71,true,LIA-INC-003,credit_report
