decision_id,application_id,decision_stage,decision_type,result,actor_type,actor_id,decision_date,risk_level,eligibility_result,requires_human_review
APP-000011-DEC-01,APP-000011,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000011-DEC-02,APP-000011,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000012-DEC-01,APP-000012,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,true
APP-000012-DEC-02,APP-000012,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000013-DEC-01,APP-000013,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000014-DEC-01,APP-000014,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000014-DEC-02,APP-000014,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000015-DEC-01,APP-000015,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000016-DEC-01,APP-000016,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000016-DEC-02,APP-000016,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000017-DEC-01,APP-000017,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000017-DEC-02,APP-000017,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000018-DEC-01,APP-000018,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,MEDIUM,ELIGIBLE,true
APP-000018-DEC-02,APP-000018,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000019-DEC-01,APP-000019,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000020-DEC-01,APP-000020,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000020-DEC-02,APP-000020,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000021-DEC-01,APP-000021,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,INELIGIBLE,true
APP-000021-DEC-02,APP-000021,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,INELIGIBLE,true
APP-000022-DEC-01,APP-000022,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000023-DEC-01,APP-000023,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000024-DEC-01,APP-000024,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,INELIGIBLE,true
APP-000024-DEC-02,APP-000024,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,INELIGIBLE,true
APP-000025-DEC-01,APP-000025,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000026-DEC-01,APP-000026,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000026-DEC-02,APP-000026,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000027-DEC-01,APP-000027,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000028-DEC-01,APP-000028,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000028-DEC-02,APP-000028,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000029-DEC-01,APP-000029,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000029-DEC-02,APP-000029,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000030-DEC-01,APP-000030,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000030-DEC-02,APP-000030,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000031-DEC-01,APP-000031,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000031-DEC-02,APP-000031,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000032-DEC-01,APP-000032,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_WITH_CONDITIONS,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000033-DEC-01,APP-000033,underwriting_recommendation,COPILOT_RECOMMENDATION,REFER,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,true
APP-000033-DEC-02,APP-000033,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000034-DEC-01,APP-000034,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000034-DEC-02,APP-000034,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000035-DEC-01,APP-000035,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000035-DEC-02,APP-000035,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000036-DEC-01,APP-000036,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000036-DEC-02,APP-000036,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000037-DEC-01,APP-000037,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000037-DEC-02,APP-000037,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000038-DEC-01,APP-000038,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000038-DEC-02,APP-000038,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000039-DEC-01,APP-000039,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000039-DEC-02,APP-000039,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000040-DEC-01,APP-000040,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000040-DEC-02,APP-000040,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000041-DEC-01,APP-000041,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000042-DEC-01,APP-000042,underwriting_recommendation,COPILOT_RECOMMENDATION,SUSPENDED_INCOMPLETE,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000043-DEC-01,APP-000043,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,HIGH,ELIGIBLE,true
APP-000043-DEC-02,APP-000043,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,HIGH,ELIGIBLE,true
APP-000044-DEC-01,APP-000044,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000044-DEC-02,APP-000044,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000045-DEC-01,APP-000045,underwriting_recommendation,COPILOT_RECOMMENDATION,SUSPENDED_INCOMPLETE,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000046-DEC-01,APP-000046,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_WITH_CONDITIONS,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000047-DEC-01,APP-000047,underwriting_recommendation,COPILOT_RECOMMENDATION,REFER,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,true
APP-000047-DEC-02,APP-000047,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000048-DEC-01,APP-000048,underwriting_recommendation,COPILOT_RECOMMENDATION,SUSPENDED_INCOMPLETE,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000049-DEC-01,APP-000049,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000049-DEC-02,APP-000049,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000050-DEC-01,APP-000050,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,false
APP-000051-DEC-01,APP-000051,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,MEDIUM,ELIGIBLE,true
APP-000051-DEC-02,APP-000051,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,MEDIUM,ELIGIBLE,true
APP-000052-DEC-01,APP-000052,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,false
APP-000053-DEC-01,APP-000053,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_WITH_CONDITIONS,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-06-25,LOW,ELIGIBLE,false
APP-000054-DEC-01,APP-000054,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_WITH_CONDITIONS,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000055-DEC-01,APP-000055,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-06-25,LOW,ELIGIBLE,true
APP-000055-DEC-02,APP-000055,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000056-DEC-01,APP-000056,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-07-08,ELEVATED,INELIGIBLE,true
APP-000056-DEC-02,APP-000056,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000057-DEC-01,APP-000057,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-07-08,LOW,ELIGIBLE,true
APP-000057-DEC-02,APP-000057,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
APP-000058-DEC-01,APP-000058,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,false
APP-000059-DEC-01,APP-000059,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,ELEVATED,INELIGIBLE,true
APP-000059-DEC-02,APP-000059,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000060-DEC-01,APP-000060,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000061-DEC-01,APP-000061,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000062-DEC-01,APP-000062,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,INELIGIBLE,true
APP-000062-DEC-02,APP-000062,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000063-DEC-01,APP-000063,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,LOW,ELIGIBLE,false
APP-000064-DEC-01,APP-000064,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-09-04,ELEVATED,INELIGIBLE,true
APP-000064-DEC-02,APP-000064,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,INELIGIBLE,true
APP-000065-DEC-01,APP-000065,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,HIGH,INELIGIBLE,true
APP-000065-DEC-02,APP-000065,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,HIGH,INELIGIBLE,true
APP-000066-DEC-01,APP-000066,underwriting_recommendation,COPILOT_RECOMMENDATION,DECLINE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,HIGH,INELIGIBLE,true
APP-000066-DEC-02,APP-000066,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,HIGH,INELIGIBLE,true
APP-000067-DEC-01,APP-000067,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000067-DEC-02,APP-000067,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000068-DEC-01,APP-000068,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000068-DEC-02,APP-000068,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000069-DEC-01,APP-000069,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000069-DEC-02,APP-000069,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000070-DEC-01,APP-000070,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,ELEVATED,ELIGIBLE,true
APP-000070-DEC-02,APP-000070,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,ELEVATED,ELIGIBLE,true
APP-000071-DEC-01,APP-000071,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000072-DEC-01,APP-000072,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000073-DEC-01,APP-000073,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000074-DEC-01,APP-000074,underwriting_recommendation,COPILOT_RECOMMENDATION,APPROVE_RECOMMENDATION,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,false
APP-000075-DEC-01,APP-000075,underwriting_recommendation,COPILOT_RECOMMENDATION,MANUAL_REVIEW_REQUIRED,AUTOMATED_COMPONENT,credpilot-underwriting-copilot,2026-08-12,LOW,ELIGIBLE,true
APP-000075-DEC-02,APP-000075,credit_decision,HUMAN_CREDIT_DECISION,PENDING_HUMAN_REVIEW,HUMAN,unassigned,,LOW,ELIGIBLE,true
