eligibility_result_id,application_id,programme,result,determining_rule_ids,as_of_date
APP-000038-ELIG,APP-000038,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000039-ELIG,APP-000039,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000040-ELIG,APP-000040,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000041-ELIG,APP-000041,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000042-ELIG,APP-000042,conventional_conforming,ELIGIBLE,AST-SRC-001|DOC-REQ-004|GEN-ELG-005,2026-08-12
APP-000043-ELIG,APP-000043,conventional_conforming,ELIGIBLE,FRD-IND-002,2026-08-12
APP-000044-ELIG,APP-000044,conventional_conforming,ELIGIBLE,KYC-IDV-002,2026-08-12
APP-000045-ELIG,APP-000045,conventional_conforming,ELIGIBLE,DOC-REQ-004|GEN-ELG-005,2026-08-12
APP-000046-ELIG,APP-000046,conventional_conforming,ELIGIBLE,DOC-REQ-002,2026-08-12
APP-000047-ELIG,APP-000047,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000048-ELIG,APP-000048,conventional_conforming,ELIGIBLE,DOC-REQ-004|GEN-ELG-005|PRP-ELG-004,2026-08-12
APP-000049-ELIG,APP-000049,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000050-ELIG,APP-000050,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000051-ELIG,APP-000051,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000052-ELIG,APP-000052,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000053-ELIG,APP-000053,conventional_conforming,ELIGIBLE,VAL-APR-001,2026-06-25
APP-000054-ELIG,APP-000054,conventional_conforming,ELIGIBLE,VAL-APR-003,2026-08-12
APP-000055-ELIG,APP-000055,conventional_conforming,ELIGIBLE,,2026-06-25
APP-000056-ELIG,APP-000056,conventional_conforming,INELIGIBLE,AST-RSV-002|DTI-CONV-001,2026-07-08
APP-000057-ELIG,APP-000057,conventional_conforming,ELIGIBLE,,2026-07-08
APP-000058-ELIG,APP-000058,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000059-ELIG,APP-000059,conventional_conforming,INELIGIBLE,CRD-SCR-003,2026-09-04
APP-000060-ELIG,APP-000060,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000061-ELIG,APP-000061,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000062-ELIG,APP-000062,conventional_conforming,INELIGIBLE,CRD-SCR-003,2026-08-12
APP-000063-ELIG,APP-000063,conventional_conforming,ELIGIBLE,,2026-09-04
APP-000064-ELIG,APP-000064,conventional_conforming,INELIGIBLE,DTI-CONV-001,2026-09-04
APP-000065-ELIG,APP-000065,conventional_conforming,INELIGIBLE,DTI-CONV-001|SEC-INJ-001,2026-08-12
APP-000066-ELIG,APP-000066,conventional_conforming,INELIGIBLE,CRD-SCR-003|SEC-INJ-001,2026-08-12
APP-000067-ELIG,APP-000067,conventional_conforming,ELIGIBLE,SEC-INJ-003,2026-08-12
APP-000068-ELIG,APP-000068,conventional_conforming,ELIGIBLE,SEC-INJ-002,2026-08-12
APP-000069-ELIG,APP-000069,conventional_conforming,ELIGIBLE,SEC-INJ-001,2026-08-12
APP-000070-ELIG,APP-000070,conventional_conforming,ELIGIBLE,SEC-INJ-004,2026-08-12
APP-000071-ELIG,APP-000071,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000072-ELIG,APP-000072,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000073-ELIG,APP-000073,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000074-ELIG,APP-000074,conventional_conforming,ELIGIBLE,,2026-08-12
APP-000075-ELIG,APP-000075,conventional_conforming,ELIGIBLE,,2026-08-12
