transaction_id,application_id,asset_id,transaction_type,amount,transaction_date,description,source_status,large_deposit_flag
APP-000026-TXN-EMD,APP-000026,APP-000026-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000027-TXN-EMD,APP-000027,APP-000027-AST-01,withdrawal,4800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000028-TXN-EMD,APP-000028,APP-000028-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000029-TXN-EMD,APP-000029,APP-000029-AST-01,withdrawal,5500.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000030-TXN-EMD,APP-000030,APP-000030-AST-01,withdrawal,4600.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000031-TXN-EMD,APP-000031,APP-000031-AST-01,withdrawal,5300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000032-TXN-EMD,APP-000032,APP-000032-AST-01,withdrawal,4700.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000033-TXN-EMD,APP-000033,APP-000033-AST-01,withdrawal,5100.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000034-TXN-EMD,APP-000034,APP-000034-AST-01,withdrawal,3800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000035-TXN-EMD,APP-000035,APP-000035-AST-01,withdrawal,5600.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000036-TXN-EMD,APP-000036,APP-000036-AST-01,withdrawal,4700.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000037-TXN-EMD,APP-000037,APP-000037-AST-01,withdrawal,4000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000038-TXN-EMD,APP-000038,APP-000038-AST-01,withdrawal,4000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000039-TXN-EMD,APP-000039,APP-000039-AST-01,withdrawal,4300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000040-TXN-EMD,APP-000040,APP-000040-AST-01,withdrawal,4600.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000040-TXN-DEP,APP-000040,APP-000040-AST-01,deposit,16733.33,2026-07-26,"Incoming transfer, originator not identified",UNSOURCED,true
APP-000041-TXN-EMD,APP-000041,APP-000041-AST-01,withdrawal,5200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000042-TXN-EMD,APP-000042,APP-000042-AST-01,withdrawal,5000.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000043-TXN-EMD,APP-000043,APP-000043-AST-01,withdrawal,4200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000044-TXN-EMD,APP-000044,APP-000044-AST-01,withdrawal,5300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000045-TXN-EMD,APP-000045,APP-000045-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000046-TXN-EMD,APP-000046,APP-000046-AST-01,withdrawal,4900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000047-TXN-EMD,APP-000047,APP-000047-AST-01,withdrawal,5200.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000048-TXN-EMD,APP-000048,APP-000048-AST-01,withdrawal,5400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000049-TXN-EMD,APP-000049,APP-000049-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000050-TXN-EMD,APP-000050,APP-000050-AST-01,withdrawal,5100.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000051-TXN-EMD,APP-000051,APP-000051-AST-01,withdrawal,4400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000052-TXN-EMD,APP-000052,APP-000052-AST-01,withdrawal,4100.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000053-TXN-EMD,APP-000053,APP-000053-AST-01,withdrawal,5600.00,2026-06-04,Earnest money deposit to settlement agent,SOURCED,false
APP-000054-TXN-EMD,APP-000054,APP-000054-AST-01,withdrawal,4200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000055-TXN-EMD,APP-000055,APP-000055-AST-01,withdrawal,4300.00,2026-06-04,Earnest money deposit to settlement agent,SOURCED,false
APP-000056-TXN-EMD,APP-000056,APP-000056-AST-01,withdrawal,4700.00,2026-06-17,Earnest money deposit to settlement agent,SOURCED,false
APP-000057-TXN-EMD,APP-000057,APP-000057-AST-01,withdrawal,4800.00,2026-06-17,Earnest money deposit to settlement agent,SOURCED,false
APP-000058-TXN-EMD,APP-000058,APP-000058-AST-01,withdrawal,5300.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000059-TXN-EMD,APP-000059,APP-000059-AST-01,withdrawal,4400.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000060-TXN-EMD,APP-000060,APP-000060-AST-01,withdrawal,4800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000061-TXN-EMD,APP-000061,APP-000061-AST-01,withdrawal,5200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000062-TXN-EMD,APP-000062,APP-000062-AST-01,withdrawal,5400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000063-TXN-EMD,APP-000063,APP-000063-AST-01,withdrawal,6600.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000064-TXN-EMD,APP-000064,APP-000064-AST-01,withdrawal,4700.00,2026-08-14,Earnest money deposit to settlement agent,SOURCED,false
APP-000065-TXN-EMD,APP-000065,APP-000065-AST-01,withdrawal,3800.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000066-TXN-EMD,APP-000066,APP-000066-AST-01,withdrawal,4600.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000067-TXN-EMD,APP-000067,APP-000067-AST-01,withdrawal,5400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000068-TXN-EMD,APP-000068,APP-000068-AST-01,withdrawal,4500.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000069-TXN-EMD,APP-000069,APP-000069-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000070-TXN-EMD,APP-000070,APP-000070-AST-01,withdrawal,3900.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000071-TXN-EMD,APP-000071,APP-000071-AST-01,withdrawal,4300.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000072-TXN-EMD,APP-000072,APP-000072-AST-01,withdrawal,4200.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000073-TXN-EMD,APP-000073,APP-000073-AST-01,withdrawal,4400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000074-TXN-EMD,APP-000074,APP-000074-AST-01,withdrawal,4400.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
APP-000075-TXN-EMD,APP-000075,APP-000075-AST-01,withdrawal,2500.00,2026-07-22,Earnest money deposit to settlement agent,SOURCED,false
