loan_id,application_id,product_family,loan_purpose,base_loan_amount,financed_premium_amount,note_amount,term_months,interest_rate,rate_type,lien_position,amortisation_type,principal_and_interest,monthly_mortgage_insurance,down_payment_amount,seller_credits,lender_credits,closing_costs,prepaids_and_escrow,earnest_money_paid,payoff_amount,cash_out_proceeds
APP-000023-LOAN,APP-000023,conventional_conforming,cash_out_refinance,332112.00,0,332112.00,360,0.0665,fixed,1,fully_amortising,2132.04,0,0,0,0,6001.40,2168.00,0,272331.84,51610.76
APP-000024-LOAN,APP-000024,conventional_conforming,cash_out_refinance,349860.00,0,349860.00,360,0.0665,fixed,1,fully_amortising,2245.98,0,0,0,0,6223.25,2996.98,0,286885.20,53754.57
APP-000025-LOAN,APP-000025,conventional_conforming,purchase,348500.00,0,348500.00,360,0.0665,fixed,1,fully_amortising,2237.25,92.93,61500.00,0,0,6206.25,2134.56,4100.00,0,0
APP-000026-LOAN,APP-000026,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,0,0,5750.00,2844.91,3900.00,0,0
APP-000027-LOAN,APP-000027,conventional_conforming,purchase,384000.00,0,384000.00,360,0.0665,fixed,1,fully_amortising,2465.15,0,96000.00,0,0,6650.00,2397.42,4800.00,0,0
APP-000028-LOAN,APP-000028,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,0,0,5750.00,2025.91,3900.00,0,0
APP-000029-LOAN,APP-000029,conventional_conforming,purchase,440000.00,0,440000.00,360,0.0665,fixed,1,fully_amortising,2824.65,0,110000.00,0,0,7350.00,4012.05,5500.00,0,0
APP-000030-LOAN,APP-000030,conventional_conforming,purchase,368000.00,0,368000.00,360,0.0665,fixed,1,fully_amortising,2362.43,0,92000.00,9200.00,0,6450.00,3045.03,4600.00,0,0
APP-000031-LOAN,APP-000031,conventional_conforming,purchase,424000.00,0,424000.00,360,0.0665,fixed,1,fully_amortising,2721.93,0,106000.00,10600.00,0,7150.00,3336.15,5300.00,0,0
APP-000032-LOAN,APP-000032,conventional_conforming,purchase,376000.00,0,376000.00,360,0.0665,fixed,1,fully_amortising,2413.79,0,94000.00,9400.00,0,6550.00,2958.47,4700.00,0,0
APP-000033-LOAN,APP-000033,conventional_conforming,purchase,408000.00,0,408000.00,360,0.0665,fixed,1,fully_amortising,2619.22,0,102000.00,0,0,6950.00,2547.26,5100.00,0,0
APP-000034-LOAN,APP-000034,conventional_conforming,purchase,304000.00,0,304000.00,360,0.0665,fixed,1,fully_amortising,1951.57,0,76000.00,7600.00,0,5650.00,2771.96,3800.00,0,0
APP-000035-LOAN,APP-000035,conventional_conforming,purchase,448000.00,0,448000.00,360,0.0665,fixed,1,fully_amortising,2876.00,0,112000.00,11200.00,0,7450.00,2909.00,5600.00,0,0
APP-000036-LOAN,APP-000036,conventional_conforming,purchase,376000.00,0,376000.00,360,0.0665,fixed,1,fully_amortising,2413.79,0,94000.00,0,0,6550.00,2218.22,4700.00,0,0
APP-000037-LOAN,APP-000037,conventional_conforming,purchase,320000.00,0,320000.00,360,0.0665,fixed,1,fully_amortising,2054.29,0,80000.00,0,0,5850.00,1737.86,4000.00,0,0
APP-000038-LOAN,APP-000038,conventional_conforming,purchase,320000.00,0,320000.00,360,0.0665,fixed,1,fully_amortising,2054.29,0,80000.00,0,0,5850.00,1887.86,4000.00,0,0
APP-000039-LOAN,APP-000039,conventional_conforming,purchase,344000.00,0,344000.00,360,0.0665,fixed,1,fully_amortising,2208.36,0,86000.00,0,0,6150.00,1782.19,4300.00,0,0
APP-000040-LOAN,APP-000040,conventional_conforming,purchase,368000.00,0,368000.00,360,0.0665,fixed,1,fully_amortising,2362.43,0,92000.00,9200.00,0,6450.00,2884.05,4600.00,0,0
APP-000041-LOAN,APP-000041,conventional_conforming,purchase,468000.00,0,468000.00,360,0.0665,fixed,1,fully_amortising,3004.40,202.80,52000.00,0,0,7700.00,2531.32,5200.00,0,0
APP-000042-LOAN,APP-000042,conventional_conforming,purchase,450000.00,0,450000.00,360,0.0665,fixed,1,fully_amortising,2888.84,195.00,50000.00,0,0,7475.00,2733.96,5000.00,0,0
APP-000043-LOAN,APP-000043,conventional_conforming,purchase,336000.00,0,336000.00,360,0.0665,fixed,1,fully_amortising,2157.00,0,84000.00,0,0,6050.00,3063.75,4200.00,0,0
APP-000044-LOAN,APP-000044,conventional_conforming,purchase,424000.00,0,424000.00,360,0.0665,fixed,1,fully_amortising,2721.93,0,106000.00,10600.00,0,7150.00,2686.89,5300.00,0,0
APP-000045-LOAN,APP-000045,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,7800.00,0,5750.00,1616.41,3900.00,0,0
APP-000046-LOAN,APP-000046,conventional_conforming,purchase,392000.00,0,392000.00,360,0.0665,fixed,1,fully_amortising,2516.50,0,98000.00,0,0,6750.00,3574.37,4900.00,0,0
APP-000047-LOAN,APP-000047,conventional_conforming,purchase,416000.00,0,416000.00,360,0.0665,fixed,1,fully_amortising,2670.57,0,104000.00,0,0,7050.00,2389.21,5200.00,0,0
APP-000048-LOAN,APP-000048,conventional_conforming,purchase,432000.00,0,432000.00,360,0.0665,fixed,1,fully_amortising,2773.29,0,108000.00,0,0,7250.00,4303.60,5400.00,0,0
APP-000049-LOAN,APP-000049,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,0,0,5750.00,2844.91,3900.00,0,0
APP-000050-LOAN,APP-000050,conventional_conforming,purchase,431460.00,0,431460.00,360,0.0665,fixed,1,fully_amortising,2769.82,186.97,78540.00,10200.00,0,7243.25,3304.48,5100.00,0,0
APP-000051-LOAN,APP-000051,conventional_conforming,purchase,352000.00,0,352000.00,360,0.0665,fixed,1,fully_amortising,2259.72,0,88000.00,0,0,6250.00,3506.64,4400.00,0,0
APP-000052-LOAN,APP-000052,conventional_conforming,purchase,307500.00,0,307500.00,360,0.0665,fixed,1,fully_amortising,1974.04,0,102500.00,0,0,5693.75,2934.78,4100.00,0,0
APP-000053-LOAN,APP-000053,conventional_conforming,purchase,420000.00,0,420000.00,360,0.0665,fixed,1,fully_amortising,2696.25,0,140000.00,11200.00,0,7100.00,2762.46,5600.00,0,0
APP-000054-LOAN,APP-000054,conventional_conforming,purchase,336000.00,0,336000.00,360,0.0665,fixed,1,fully_amortising,2157.00,0,84000.00,0,0,6050.00,3063.75,4200.00,0,0
APP-000055-LOAN,APP-000055,conventional_conforming,purchase,395600.00,0,395600.00,360,0.0665,fixed,1,fully_amortising,2539.61,257.14,34400.00,0,0,6795.00,3277.71,4300.00,0,0
APP-000056-LOAN,APP-000056,conventional_conforming,purchase,432400.00,0,432400.00,360,0.0665,fixed,1,fully_amortising,2775.86,281.06,37600.00,0,0,7255.00,3582.62,4700.00,0,0
APP-000057-LOAN,APP-000057,conventional_conforming,purchase,345600.00,0,345600.00,360,0.0665,fixed,1,fully_amortising,2218.63,0,134400.00,0,0,6170.00,2388.48,4800.00,0,0
APP-000058-LOAN,APP-000058,conventional_conforming,purchase,503500.00,0,503500.00,360,0.0665,fixed,1,fully_amortising,3232.29,327.28,26500.00,0,0,8143.75,2904.15,5300.00,0,0
APP-000059-LOAN,APP-000059,conventional_conforming,purchase,418000.00,0,418000.00,360,0.0665,fixed,1,fully_amortising,2683.41,271.70,22000.00,0,0,7075.00,2950.00,4400.00,0,0
APP-000060-LOAN,APP-000060,conventional_conforming,purchase,465600.00,0,465600.00,360,0.0665,fixed,1,fully_amortising,2988.99,364.72,14400.00,0,0,7670.00,4048.43,4800.00,0,0
APP-000061-LOAN,APP-000061,conventional_conforming,purchase,416000.00,0,416000.00,360,0.0665,fixed,1,fully_amortising,2670.57,0,104000.00,10400.00,0,7050.00,2454.22,5200.00,0,0
APP-000062-LOAN,APP-000062,conventional_conforming,purchase,432000.00,0,432000.00,360,0.0665,fixed,1,fully_amortising,2773.29,0,108000.00,10800.00,0,7250.00,2346.10,5400.00,0,0
APP-000063-LOAN,APP-000063,conventional_conforming,purchase,561000.00,0,561000.00,360,0.0665,fixed,1,fully_amortising,3601.42,149.60,99000.00,0,0,8862.50,3122.64,6600.00,0,0
APP-000064-LOAN,APP-000064,conventional_conforming,purchase,376000.00,0,376000.00,360,0.0665,fixed,1,fully_amortising,2413.79,0,94000.00,0,0,6550.00,2958.47,4700.00,0,0
APP-000065-LOAN,APP-000065,conventional_conforming,purchase,304000.00,0,304000.00,360,0.0665,fixed,1,fully_amortising,1951.57,0,76000.00,0,0,5650.00,2771.96,3800.00,0,0
APP-000066-LOAN,APP-000066,conventional_conforming,purchase,368000.00,0,368000.00,360,0.0665,fixed,1,fully_amortising,2362.43,0,92000.00,0,0,6450.00,1906.53,4600.00,0,0
APP-000067-LOAN,APP-000067,conventional_conforming,purchase,432000.00,0,432000.00,360,0.0665,fixed,1,fully_amortising,2773.29,0,108000.00,0,0,7250.00,3939.10,5400.00,0,0
APP-000068-LOAN,APP-000068,conventional_conforming,purchase,360000.00,0,360000.00,360,0.0665,fixed,1,fully_amortising,2311.07,0,90000.00,0,0,6350.00,1955.09,4500.00,0,0
APP-000069-LOAN,APP-000069,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,7800.00,0,5750.00,1694.41,3900.00,0,0
APP-000070-LOAN,APP-000070,conventional_conforming,purchase,312000.00,0,312000.00,360,0.0665,fixed,1,fully_amortising,2002.93,0,78000.00,7800.00,0,5750.00,1840.66,3900.00,0,0
APP-000071-LOAN,APP-000071,conventional_conforming,purchase,301000.00,0,301000.00,360,0.0665,fixed,1,fully_amortising,1932.31,0,129000.00,8600.00,0,5612.50,3309.43,4300.00,0,0
APP-000072-LOAN,APP-000072,conventional_conforming,purchase,336000.00,0,336000.00,360,0.0665,fixed,1,fully_amortising,2157.00,0,84000.00,0,0,6050.00,3357.75,4200.00,0,0
APP-000073-LOAN,APP-000073,conventional_conforming,purchase,374000.00,0,374000.00,360,0.0665,fixed,1,fully_amortising,2400.95,99.73,66000.00,0,0,6525.00,2829.76,4400.00,0,0
APP-000074-LOAN,APP-000074,conventional_conforming,purchase,396000.00,0,396000.00,360,0.0665,fixed,1,fully_amortising,2542.18,171.60,44000.00,0,0,6800.00,1943.89,4400.00,0,0
APP-000075-LOAN,APP-000075,conventional_conforming,purchase,150000.00,0,150000.00,360,0.0665,fixed,1,fully_amortising,962.95,0,100000.00,5000.00,0,3725.00,1687.01,2500.00,0,0
