credit_profile_id,application_id,borrower_id,credit_file_token,credit_file_masked,report_date,report_age_days,bureau_vendor,score_model,score_1,score_2,score_3,representative_score,representative_score_rule_id,scoreable_tradelines,recent_inquiries_90d
APP-000013-CRP-1,APP-000013,BORR-000014,SYN-CRDT-000014,****0014,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,728,742,750,742,CRD-SCR-002,6,1
APP-000013-CRP-2,APP-000013,BORR-000015,SYN-CRDT-000015,****0015,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,735,744,751,744,CRD-SCR-002,6,1
APP-000014-CRP-1,APP-000014,BORR-000016,SYN-CRDT-000016,****0016,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,738,742,752,742,CRD-SCR-002,6,1
APP-000015-CRP-1,APP-000015,BORR-000017,SYN-CRDT-000017,****0017,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,734,742,749,742,CRD-SCR-002,6,1
APP-000015-CRP-2,APP-000015,BORR-000018,SYN-CRDT-000018,****0018,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,746,752,762,752,CRD-SCR-002,6,1
APP-000016-CRP-1,APP-000016,BORR-000019,SYN-CRDT-000019,****0019,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,742,746,742,CRD-SCR-002,6,1
APP-000017-CRP-1,APP-000017,BORR-000020,SYN-CRDT-000020,****0020,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,763,768,778,768,CRD-SCR-002,6,1
APP-000018-CRP-1,APP-000018,BORR-000021,SYN-CRDT-000021,****0021,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,780,784,791,784,CRD-SCR-002,6,1
APP-000019-CRP-1,APP-000019,BORR-000022,SYN-CRDT-000022,****0022,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,633,642,654,642,CRD-SCR-002,6,1
APP-000019-CRP-2,APP-000019,BORR-000023,SYN-CRDT-000023,****0023,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,649,655,662,655,CRD-SCR-002,6,1
APP-000020-CRP-1,APP-000020,BORR-000024,SYN-CRDT-000024,****0024,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,692,698,710,698,CRD-SCR-002,6,1
APP-000021-CRP-1,APP-000021,BORR-000025,SYN-CRDT-000025,****0025,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,690,704,712,704,CRD-SCR-002,6,1
APP-000022-CRP-1,APP-000022,BORR-000026,SYN-CRDT-000026,****0026,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,733,742,747,742,CRD-SCR-002,6,1
APP-000022-CRP-2,APP-000022,BORR-000027,SYN-CRDT-000027,****0027,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,729,738,745,738,CRD-SCR-002,6,1
APP-000023-CRP-1,APP-000023,BORR-000028,SYN-CRDT-000028,****0028,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,711,724,729,724,CRD-SCR-002,6,1
APP-000023-CRP-2,APP-000023,BORR-000029,SYN-CRDT-000029,****0029,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,735,741,747,741,CRD-SCR-002,6,1
APP-000024-CRP-1,APP-000024,BORR-000030,SYN-CRDT-000030,****0030,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,736,739,736,CRD-SCR-002,6,1
APP-000025-CRP-1,APP-000025,BORR-000031,SYN-CRDT-000031,****0031,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,750,756,765,756,CRD-SCR-002,6,1
APP-000026-CRP-1,APP-000026,BORR-000032,SYN-CRDT-000032,****0032,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,749,762,768,762,CRD-SCR-002,6,1
APP-000027-CRP-1,APP-000027,BORR-000033,SYN-CRDT-000033,****0033,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,683,688,692,688,CRD-SCR-002,6,1
APP-000027-CRP-2,APP-000027,BORR-000034,SYN-CRDT-000034,****0034,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,695,702,714,702,CRD-SCR-002,6,1
APP-000028-CRP-1,APP-000028,BORR-000035,SYN-CRDT-000035,****0035,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,659,664,669,664,CRD-SCR-002,6,1
APP-000029-CRP-1,APP-000029,BORR-000036,SYN-CRDT-000036,****0036,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,660,672,682,672,CRD-SCR-002,6,1
APP-000030-CRP-1,APP-000030,BORR-000037,SYN-CRDT-000037,****0037,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,681,694,703,694,CRD-SCR-002,6,1
APP-000031-CRP-1,APP-000031,BORR-000038,SYN-CRDT-000038,****0038,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,664,678,690,678,CRD-SCR-002,6,1
APP-000032-CRP-1,APP-000032,BORR-000039,SYN-CRDT-000039,****0039,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,672,682,691,682,CRD-SCR-002,6,1
APP-000033-CRP-1,APP-000033,BORR-000040,SYN-CRDT-000040,****0040,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,729,742,748,742,CRD-SCR-002,6,5
APP-000034-CRP-1,APP-000034,BORR-000041,SYN-CRDT-000041,****0041,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,697,702,711,702,CRD-SCR-002,2,1
APP-000035-CRP-1,APP-000035,BORR-000042,SYN-CRDT-000042,****0042,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,730,742,751,742,CRD-SCR-002,6,1
APP-000036-CRP-1,APP-000036,BORR-000043,SYN-CRDT-000043,****0043,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,736,742,749,742,CRD-SCR-002,6,1
APP-000036-CRP-2,APP-000036,BORR-000044,SYN-CRDT-000044,****0044,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,705,719,722,719,CRD-SCR-002,6,1
APP-000037-CRP-1,APP-000037,BORR-000045,SYN-CRDT-000045,****0045,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,734,742,746,742,CRD-SCR-002,6,1
APP-000038-CRP-1,APP-000038,BORR-000046,SYN-CRDT-000046,****0046,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,742,746,742,CRD-SCR-002,6,1
APP-000039-CRP-1,APP-000039,BORR-000047,SYN-CRDT-000047,****0047,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,729,742,750,742,CRD-SCR-002,6,1
APP-000040-CRP-1,APP-000040,BORR-000048,SYN-CRDT-000048,****0048,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,728,742,745,742,CRD-SCR-002,6,1
APP-000041-CRP-1,APP-000041,BORR-000049,SYN-CRDT-000049,****0049,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,702,716,727,716,CRD-SCR-002,6,1
APP-000042-CRP-1,APP-000042,BORR-000050,SYN-CRDT-000050,****0050,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,730,742,751,742,CRD-SCR-002,6,1
APP-000043-CRP-1,APP-000043,BORR-000051,SYN-CRDT-000051,****0051,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,733,742,753,742,CRD-SCR-002,6,1
APP-000044-CRP-1,APP-000044,BORR-000052,SYN-CRDT-000052,****0052,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,764,768,774,768,CRD-SCR-002,6,1
APP-000045-CRP-1,APP-000045,BORR-000053,SYN-CRDT-000053,****0053,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,738,742,752,742,CRD-SCR-002,6,1
APP-000045-CRP-2,APP-000045,BORR-000054,SYN-CRDT-000054,****0054,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,717,726,734,726,CRD-SCR-002,6,1
APP-000046-CRP-1,APP-000046,BORR-000055,SYN-CRDT-000055,****0055,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,730,742,746,742,CRD-SCR-002,6,1
APP-000047-CRP-1,APP-000047,BORR-000056,SYN-CRDT-000056,****0056,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,731,742,750,742,CRD-SCR-002,6,4
APP-000047-CRP-2,APP-000047,BORR-000057,SYN-CRDT-000057,****0057,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,746,758,766,758,CRD-SCR-002,6,4
APP-000048-CRP-1,APP-000048,BORR-000058,SYN-CRDT-000058,****0058,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,736,742,750,742,CRD-SCR-002,6,1
APP-000049-CRP-1,APP-000049,BORR-000059,SYN-CRDT-000059,****0059,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,766,772,783,772,CRD-SCR-002,6,1
APP-000050-CRP-1,APP-000050,BORR-000060,SYN-CRDT-000060,****0060,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,736,742,753,742,CRD-SCR-002,6,1
APP-000050-CRP-2,APP-000050,BORR-000061,SYN-CRDT-000061,****0061,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,696,707,714,707,CRD-SCR-002,6,1
APP-000051-CRP-1,APP-000051,BORR-000062,SYN-CRDT-000062,****0062,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,742,754,742,CRD-SCR-002,6,1
APP-000052-CRP-1,APP-000052,BORR-000063,SYN-CRDT-000063,****0063,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,760,764,767,764,CRD-SCR-002,6,1
APP-000053-CRP-1,APP-000053,BORR-000064,SYN-CRDT-000064,****0064,2026-06-04,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,754,764,769,764,CRD-SCR-002,6,1
APP-000054-CRP-1,APP-000054,BORR-000065,SYN-CRDT-000065,****0065,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,729,742,748,742,CRD-SCR-002,6,1
APP-000055-CRP-1,APP-000055,BORR-000066,SYN-CRDT-000066,****0066,2026-06-04,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,684,698,709,698,CRD-SCR-002,6,1
APP-000056-CRP-1,APP-000056,BORR-000067,SYN-CRDT-000067,****0067,2026-06-17,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,689,698,709,698,CRD-SCR-002,6,1
APP-000057-CRP-1,APP-000057,BORR-000068,SYN-CRDT-000068,****0068,2026-06-17,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,744,750,744,CRD-SCR-002,6,1
APP-000057-CRP-2,APP-000057,BORR-000069,SYN-CRDT-000069,****0069,2026-06-17,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,737,749,761,749,CRD-SCR-002,6,1
APP-000058-CRP-1,APP-000058,BORR-000070,SYN-CRDT-000070,****0070,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,634,640,645,640,CRD-SCR-002,6,1
APP-000059-CRP-1,APP-000059,BORR-000071,SYN-CRDT-000071,****0071,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,632,639,651,639,CRD-SCR-002,6,1
APP-000060-CRP-1,APP-000060,BORR-000072,SYN-CRDT-000072,****0072,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,714,724,730,724,CRD-SCR-002,6,1
APP-000061-CRP-1,APP-000061,BORR-000073,SYN-CRDT-000073,****0073,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,752,766,774,766,CRD-SCR-002,6,1
APP-000061-CRP-2,APP-000061,BORR-000074,SYN-CRDT-000074,****0074,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,722,728,740,728,CRD-SCR-002,6,1
APP-000062-CRP-1,APP-000062,BORR-000075,SYN-CRDT-000075,****0075,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,775,788,792,788,CRD-SCR-002,6,1
APP-000062-CRP-2,APP-000062,BORR-000076,SYN-CRDT-000076,****0076,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,594,604,610,604,CRD-SCR-002,6,1
APP-000063-CRP-1,APP-000063,BORR-000001,SYN-CRDT-000001,****0001,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,737,742,752,742,CRD-SCR-002,6,1
APP-000064-CRP-1,APP-000064,BORR-000011,SYN-CRDT-000011,****0011,2026-08-14,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,663,668,679,668,CRD-SCR-002,6,1
APP-000065-CRP-1,APP-000065,BORR-000077,SYN-CRDT-000077,****0077,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,738,742,751,742,CRD-SCR-002,6,1
APP-000065-CRP-2,APP-000065,BORR-000078,SYN-CRDT-000078,****0078,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,675,688,697,688,CRD-SCR-002,6,1
APP-000066-CRP-1,APP-000066,BORR-000079,SYN-CRDT-000079,****0079,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,597,602,608,602,CRD-SCR-002,6,1
APP-000067-CRP-1,APP-000067,BORR-000080,SYN-CRDT-000080,****0080,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,733,742,753,742,CRD-SCR-002,6,1
APP-000068-CRP-1,APP-000068,BORR-000081,SYN-CRDT-000081,****0081,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,734,742,753,742,CRD-SCR-002,6,1
APP-000069-CRP-1,APP-000069,BORR-000082,SYN-CRDT-000082,****0082,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,732,742,747,742,CRD-SCR-002,6,1
APP-000070-CRP-1,APP-000070,BORR-000083,SYN-CRDT-000083,****0083,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,728,742,752,742,CRD-SCR-002,6,1
APP-000071-CRP-1,APP-000071,BORR-000084,SYN-CRDT-000084,****0084,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,770,776,783,776,CRD-SCR-002,6,1
APP-000071-CRP-2,APP-000071,BORR-000085,SYN-CRDT-000085,****0085,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,777,781,789,781,CRD-SCR-002,6,1
APP-000072-CRP-1,APP-000072,BORR-000086,SYN-CRDT-000086,****0086,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,706,710,718,710,CRD-SCR-002,6,1
APP-000073-CRP-1,APP-000073,BORR-000087,SYN-CRDT-000087,****0087,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,724,728,735,728,CRD-SCR-002,6,1
APP-000073-CRP-2,APP-000073,BORR-000088,SYN-CRDT-000088,****0088,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,723,736,740,736,CRD-SCR-002,6,1
APP-000074-CRP-1,APP-000074,BORR-000089,SYN-CRDT-000089,****0089,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,724,734,744,734,CRD-SCR-002,6,1
APP-000075-CRP-1,APP-000075,BORR-000090,SYN-CRDT-000090,****0090,2026-07-22,21,SYNTH-TRIMERGE,SYNTH-SCORE-4,739,752,757,752,CRD-SCR-002,6,1
