insurance_record_id,application_id,coverage_type,carrier,annual_premium,coverage_amount,effective_date,evidenced,rule_id
APP-000055-INS-HAZ,APP-000055,hazard,Thornhill Insurance Brokers,1505.04,395600.00,2026-07-16,true,TTL-INS-001
APP-000056-INS-HAZ,APP-000056,hazard,Thornhill Insurance Brokers,1644.96,432400.00,2026-07-29,true,TTL-INS-001
APP-000057-INS-HAZ,APP-000057,hazard,Thornhill Insurance Brokers,1680.00,345600.00,2026-07-29,true,TTL-INS-001
APP-000058-INS-HAZ,APP-000058,hazard,Thornhill Insurance Brokers,1854.96,503500.00,2026-09-25,true,TTL-INS-001
APP-000059-INS-HAZ,APP-000059,hazard,Thornhill Insurance Brokers,1539.96,418000.00,2026-09-25,true,TTL-INS-001
APP-000060-INS-HAZ,APP-000060,hazard,Thornhill Insurance Brokers,1680.00,465600.00,2026-09-02,true,TTL-INS-001
APP-000061-INS-HAZ,APP-000061,hazard,Thornhill Insurance Brokers,1820.04,416000.00,2026-09-02,true,TTL-INS-001
APP-000062-INS-HAZ,APP-000062,hazard,Thornhill Insurance Brokers,1890.00,432000.00,2026-09-02,true,TTL-INS-001
APP-000063-INS-HAZ,APP-000063,hazard,Thornhill Insurance Brokers,2310.00,561000.00,2026-09-25,true,TTL-INS-001
APP-000064-INS-HAZ,APP-000064,hazard,Thornhill Insurance Brokers,1644.96,376000.00,2026-09-25,true,TTL-INS-001
APP-000065-INS-HAZ,APP-000065,hazard,Thornhill Insurance Brokers,1329.96,304000.00,2026-09-02,true,TTL-INS-001
APP-000066-INS-HAZ,APP-000066,hazard,Thornhill Insurance Brokers,1610.04,368000.00,2026-09-02,true,TTL-INS-001
APP-000067-INS-HAZ,APP-000067,hazard,Thornhill Insurance Brokers,1890.00,432000.00,2026-09-02,true,TTL-INS-001
APP-000068-INS-HAZ,APP-000068,hazard,Thornhill Insurance Brokers,1575.00,360000.00,2026-09-02,true,TTL-INS-001
APP-000069-INS-HAZ,APP-000069,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000070-INS-HAZ,APP-000070,hazard,Thornhill Insurance Brokers,1365.00,312000.00,2026-09-02,true,TTL-INS-001
APP-000071-INS-HAZ,APP-000071,hazard,Thornhill Insurance Brokers,1505.04,301000.00,2026-09-02,true,TTL-INS-001
APP-000072-INS-HAZ,APP-000072,hazard,Thornhill Insurance Brokers,1470.00,336000.00,2026-09-02,true,TTL-INS-001
APP-000073-INS-HAZ,APP-000073,hazard,Thornhill Insurance Brokers,1539.96,374000.00,2026-09-02,true,TTL-INS-001
APP-000074-INS-HAZ,APP-000074,hazard,Thornhill Insurance Brokers,1539.96,396000.00,2026-09-02,true,TTL-INS-001
APP-000075-INS-HAZ,APP-000075,hazard,Thornhill Insurance Brokers,875.04,150000.00,2026-09-02,true,TTL-INS-001
