income_id,application_id,borrower_id,income_type,declared_monthly_amount,verified_monthly_amount,qualifying_monthly_amount,annual_amount,qualifying_rule_id,evidence_document_types
APP-000014-INC-02,APP-000014,BORR-000016,rental_negative,-1050.00,-1050.00,-1050.00,-12600.00,INC-RNT-002,lease_agreement|tax_return
APP-000015-INC-01,APP-000015,BORR-000017,salaried,5193.85,5193.85,5193.85,62326.20,INC-SAL-001,paystub|w2|employment_verification
APP-000015-INC-02,APP-000015,BORR-000017,bonus,1074.59,1074.59,1074.59,12895.08,INC-VAR-002,paystub|w2
APP-000015-INC-03,APP-000015,BORR-000017,overtime,895.49,895.49,895.49,10745.88,INC-VAR-002,paystub|w2
APP-000015-INC-04,APP-000015,BORR-000018,salaried,3761.07,3761.07,3761.07,45132.84,INC-SAL-001,paystub|w2|employment_verification
APP-000016-INC-01,APP-000016,BORR-000019,salaried,10925.00,10925.00,10925.00,131100.00,INC-SAL-001,paystub|w2|employment_verification
APP-000017-INC-01,APP-000017,BORR-000020,salaried,29275.00,29275.00,29275.00,351300.00,INC-SAL-001,paystub|w2|employment_verification
APP-000018-INC-01,APP-000018,BORR-000021,salaried,44991.67,44991.67,44991.67,539900.04,INC-SAL-001,paystub|w2|employment_verification
APP-000019-INC-01,APP-000019,BORR-000022,salaried,3059.50,3059.50,3059.50,36714.00,INC-SAL-001,paystub|w2|employment_verification
APP-000019-INC-02,APP-000019,BORR-000023,salaried,2215.50,2215.50,2215.50,26586.00,INC-SAL-001,paystub|w2|employment_verification
APP-000020-INC-01,APP-000020,BORR-000024,salaried,3100.00,3100.00,3100.00,37200.00,INC-SAL-001,paystub|w2|employment_verification
APP-000021-INC-01,APP-000021,BORR-000025,salaried,5791.67,5791.67,5791.67,69500.04,INC-SAL-001,paystub|w2|employment_verification
APP-000022-INC-01,APP-000022,BORR-000026,salaried,6665.17,6665.17,6665.17,79982.04,INC-SAL-001,paystub|w2|employment_verification
APP-000022-INC-02,APP-000022,BORR-000027,salaried,4826.50,4826.50,4826.50,57918.00,INC-SAL-001,paystub|w2|employment_verification
APP-000023-INC-01,APP-000023,BORR-000028,salaried,5191.00,5191.00,5191.00,62292.00,INC-SAL-001,paystub|w2|employment_verification
APP-000023-INC-02,APP-000023,BORR-000029,salaried,3759.00,3759.00,3759.00,45108.00,INC-SAL-001,paystub|w2|employment_verification
APP-000024-INC-01,APP-000024,BORR-000030,salaried,10258.33,10258.33,10258.33,123099.96,INC-SAL-001,paystub|w2|employment_verification
APP-000025-INC-01,APP-000025,BORR-000031,salaried,9533.33,9533.33,9533.33,114399.96,INC-SAL-001,paystub|w2|employment_verification
APP-000026-INC-01,APP-000026,BORR-000032,salaried,9325.00,9325.00,9325.00,111900.00,INC-SAL-001,paystub|w2|employment_verification
APP-000027-INC-01,APP-000027,BORR-000033,salaried,5920.83,5920.83,5920.83,71049.96,INC-SAL-001,paystub|w2|employment_verification
APP-000027-INC-02,APP-000027,BORR-000034,salaried,4287.50,4287.50,4287.50,51450.00,INC-SAL-001,paystub|w2|employment_verification
APP-000028-INC-01,APP-000028,BORR-000035,salaried,8383.33,8383.33,8383.33,100599.96,INC-SAL-001,paystub|w2|employment_verification
APP-000029-INC-01,APP-000029,BORR-000036,salaried,13150.00,13150.00,13150.00,157800.00,INC-SAL-001,paystub|w2|employment_verification
APP-000030-INC-01,APP-000030,BORR-000037,salaried,10641.67,10641.67,10641.67,127700.04,INC-SAL-001,paystub|w2|employment_verification
APP-000031-INC-01,APP-000031,BORR-000038,salaried,12066.67,12066.67,12066.67,144800.04,INC-SAL-001,paystub|w2|employment_verification
APP-000032-INC-01,APP-000032,BORR-000039,salaried,10700.00,10700.00,10700.00,128400.00,INC-SAL-001,paystub|w2|employment_verification
APP-000033-INC-01,APP-000033,BORR-000040,salaried,10850.00,10850.00,10850.00,130200.00,INC-SAL-001,paystub|w2|employment_verification
APP-000034-INC-01,APP-000034,BORR-000041,salaried,9091.67,9091.67,9091.67,109100.04,INC-SAL-001,paystub|w2|employment_verification
APP-000035-INC-01,APP-000035,BORR-000042,salaried,11641.67,11641.67,11641.67,139700.04,INC-SAL-001,paystub|w2|employment_verification
APP-000036-INC-01,APP-000036,BORR-000043,salaried,6116.34,5713.00,5713.00,68556.00,INC-SAL-001,paystub|w2|employment_verification
APP-000036-INC-02,APP-000036,BORR-000044,salaried,4137.00,4137.00,4137.00,49644.00,INC-SAL-001,paystub|w2|employment_verification
APP-000037-INC-01,APP-000037,BORR-000045,salaried,8208.33,8208.33,8208.33,98499.96,INC-SAL-001,paystub|w2|employment_verification
APP-000038-INC-01,APP-000038,BORR-000046,salaried,8383.33,8383.33,8383.33,100599.96,INC-SAL-001,paystub|w2|employment_verification
APP-000039-INC-01,APP-000039,BORR-000047,salaried,8725.00,8725.00,8725.00,104700.00,INC-SAL-001,paystub|w2|employment_verification
APP-000040-INC-01,APP-000040,BORR-000048,salaried,10458.33,10458.33,10458.33,125499.96,INC-SAL-001,paystub|w2|employment_verification
APP-000041-INC-01,APP-000041,BORR-000049,salaried,12675.00,12675.00,12675.00,152100.00,INC-SAL-001,paystub|w2|employment_verification
APP-000042-INC-01,APP-000042,BORR-000050,salaried,12533.33,12533.33,12533.33,150399.96,INC-SAL-001,paystub|w2|employment_verification
APP-000043-INC-01,APP-000043,BORR-000051,salaried,10041.67,10041.67,10041.67,120500.04,INC-SAL-001,paystub|w2|employment_verification
APP-000044-INC-01,APP-000044,BORR-000052,salaried,12158.33,12158.33,12158.33,145899.96,INC-SAL-001,paystub|w2|employment_verification
APP-000045-INC-01,APP-000045,BORR-000053,salaried,4591.67,4591.67,4591.67,55100.04,INC-SAL-001,paystub|w2|employment_verification
APP-000045-INC-02,APP-000045,BORR-000054,salaried,3325.00,3325.00,3325.00,39900.00,INC-SAL-001,paystub|w2|employment_verification
APP-000046-INC-01,APP-000046,BORR-000055,salaried,11716.67,11716.67,11716.67,140600.04,INC-SAL-001,paystub|w2|employment_verification
APP-000047-INC-01,APP-000047,BORR-000056,salaried,6380.00,6380.00,6380.00,76560.00,INC-SAL-001,paystub|w2|employment_verification
APP-000047-INC-02,APP-000047,BORR-000057,salaried,4620.00,4620.00,4620.00,55440.00,INC-SAL-001,paystub|w2|employment_verification
APP-000048-INC-01,APP-000048,BORR-000058,salaried,13516.67,13516.67,13516.67,162200.04,INC-SAL-001,paystub|w2|employment_verification
APP-000049-INC-01,APP-000049,BORR-000059,salaried,9658.33,9658.33,9658.33,115899.96,INC-SAL-001,paystub|w2|employment_verification
APP-000050-INC-01,APP-000050,BORR-000060,salaried,7424.00,7424.00,7424.00,89088.00,INC-SAL-001,paystub|w2|employment_verification
APP-000050-INC-02,APP-000050,BORR-000061,salaried,5376.00,5376.00,5376.00,64512.00,INC-SAL-001,paystub|w2|employment_verification
APP-000051-INC-01,APP-000051,BORR-000062,salaried,10866.67,10866.67,10866.67,130400.04,INC-SAL-001,paystub|w2|employment_verification
APP-000052-INC-01,APP-000052,BORR-000063,salaried,9350.00,9350.00,9350.00,112200.00,INC-SAL-001,paystub|w2|employment_verification
APP-000053-INC-01,APP-000053,BORR-000064,salaried,11341.67,11341.67,11341.67,136100.04,INC-SAL-001,paystub|w2|employment_verification
APP-000054-INC-01,APP-000054,BORR-000065,salaried,10041.67,10041.67,10041.67,120500.04,INC-SAL-001,paystub|w2|employment_verification
APP-000055-INC-01,APP-000055,BORR-000066,salaried,11516.67,11516.67,11516.67,138200.04,INC-SAL-001,paystub|w2|employment_verification
APP-000056-INC-01,APP-000056,BORR-000067,salaried,12591.67,12591.67,12591.67,151100.04,INC-SAL-001,paystub|w2|employment_verification
APP-000057-INC-01,APP-000057,BORR-000068,salaried,5137.83,5137.83,5137.83,61653.96,INC-SAL-001,paystub|w2|employment_verification
APP-000057-INC-02,APP-000057,BORR-000069,salaried,3720.50,3720.50,3720.50,44646.00,INC-SAL-001,paystub|w2|employment_verification
APP-000058-INC-01,APP-000058,BORR-000070,salaried,14208.33,14208.33,14208.33,170499.96,INC-SAL-001,paystub|w2|employment_verification
APP-000059-INC-01,APP-000059,BORR-000071,salaried,12416.67,12416.67,12416.67,149000.04,INC-SAL-001,paystub|w2|employment_verification
APP-000060-INC-01,APP-000060,BORR-000072,salaried,14916.67,14916.67,14916.67,179000.04,INC-SAL-001,paystub|w2|employment_verification
APP-000061-INC-01,APP-000061,BORR-000073,salaried,6322.00,6322.00,6322.00,75864.00,INC-SAL-001,paystub|w2|employment_verification
APP-000061-INC-02,APP-000061,BORR-000074,salaried,4578.00,4578.00,4578.00,54936.00,INC-SAL-001,paystub|w2|employment_verification
APP-000062-INC-01,APP-000062,BORR-000075,salaried,6428.33,6428.33,6428.33,77139.96,INC-SAL-001,paystub|w2|employment_verification
APP-000062-INC-02,APP-000062,BORR-000076,salaried,4655.00,4655.00,4655.00,55860.00,INC-SAL-001,paystub|w2|employment_verification
APP-000063-INC-01,APP-000063,BORR-000001,salaried,14983.33,14983.33,14983.33,179799.96,INC-SAL-001,paystub|w2|employment_verification
APP-000064-INC-01,APP-000064,BORR-000011,hourly_variable,10341.67,10341.67,10341.67,124100.04,INC-HRL-002,paystub|w2|employment_verification
APP-000065-INC-01,APP-000065,BORR-000077,salaried,5094.33,5094.33,5094.33,61131.96,INC-SAL-001,paystub|w2|employment_verification
APP-000065-INC-02,APP-000065,BORR-000078,salaried,3689.00,3689.00,3689.00,44268.00,INC-SAL-001,paystub|w2|employment_verification
APP-000066-INC-01,APP-000066,BORR-000079,salaried,9333.33,9333.33,9333.33,111999.96,INC-SAL-001,paystub|w2|employment_verification
APP-000067-INC-01,APP-000067,BORR-000080,salaried,12916.67,12916.67,12916.67,155000.04,INC-SAL-001,paystub|w2|employment_verification
APP-000068-INC-01,APP-000068,BORR-000081,salaried,9233.33,9233.33,9233.33,110799.96,INC-SAL-001,paystub|w2|employment_verification
APP-000069-INC-01,APP-000069,BORR-000082,salaried,8008.33,8008.33,8008.33,96099.96,INC-SAL-001,paystub|w2|employment_verification
APP-000070-INC-01,APP-000070,BORR-000083,salaried,8175.00,8175.00,8175.00,98100.00,INC-SAL-001,paystub|w2|employment_verification
APP-000071-INC-01,APP-000071,BORR-000084,salaried,7743.00,7743.00,7743.00,92916.00,INC-SAL-001,paystub|w2|employment_verification
APP-000071-INC-02,APP-000071,BORR-000085,salaried,5607.00,5607.00,5607.00,67284.00,INC-SAL-001,paystub|w2|employment_verification
APP-000072-INC-01,APP-000072,BORR-000086,salaried,8858.33,8858.33,8858.33,106299.96,INC-SAL-001,paystub|w2|employment_verification
APP-000073-INC-01,APP-000073,BORR-000087,salaried,5333.05,5333.05,5333.05,63996.60,INC-SAL-001,paystub|w2|employment_verification
APP-000073-INC-02,APP-000073,BORR-000087,rental,1655.08,1655.08,1655.08,19860.96,INC-RNT-002,lease_agreement|tax_return
APP-000073-INC-03,APP-000073,BORR-000088,salaried,3861.87,3861.87,3861.87,46342.44,INC-SAL-001,paystub|w2|employment_verification
APP-000074-INC-01,APP-000074,BORR-000089,salaried,11475.00,11475.00,11475.00,137700.00,INC-SAL-001,paystub|w2|employment_verification
APP-000075-INC-01,APP-000075,BORR-000090,retirement,2925.00,2925.00,2925.00,35100.00,INC-OTH-001,award_letter
APP-000075-INC-02,APP-000075,BORR-000090,social_security,1950.00,1950.00,1950.00,23400.00,INC-OTH-001,award_letter
