extraction_id,document_id,application_id,field_name,extracted_value,page,extraction_confidence
APP-000001-DOC-08-EX-01,APP-000001-DOC-08,APP-000001,institution,Cascade Mutual Credit Union,1,0.98
APP-000001-DOC-08-EX-02,APP-000001-DOC-08,APP-000001,account_masked,******0002,1,0.98
APP-000001-DOC-08-EX-03,APP-000001-DOC-08,APP-000001,closing_balance,57828.19,1,0.98
APP-000001-DOC-08-EX-04,APP-000001-DOC-08,APP-000001,statement_period_end,2026-08-03,1,0.98
APP-000001-DOC-09-EX-01,APP-000001-DOC-09,APP-000001,verified_balance,7544.66,1,0.98
APP-000001-DOC-09-EX-02,APP-000001-DOC-09,APP-000001,asset_type,brokerage,1,0.98
APP-000001-DOC-10-EX-01,APP-000001-DOC-10,APP-000001,verified_balance,8047.63,1,0.98
APP-000001-DOC-10-EX-02,APP-000001-DOC-10,APP-000001,asset_type,retirement,1,0.98
APP-000001-DOC-11-EX-01,APP-000001-DOC-11,APP-000001,purchase_price,400000.00,1,0.98
APP-000001-DOC-11-EX-02,APP-000001-DOC-11,APP-000001,contract_date,2026-07-17,1,0.98
APP-000001-DOC-11-EX-03,APP-000001-DOC-11,APP-000001,earnest_money,4000.00,1,0.98
APP-000001-DOC-11-EX-04,APP-000001-DOC-11,APP-000001,seller_credits,8000.00,1,0.98
APP-000001-DOC-12-EX-01,APP-000001-DOC-12,APP-000001,appraised_value,408000.00,1,0.98
APP-000001-DOC-12-EX-02,APP-000001-DOC-12,APP-000001,effective_date,2026-07-19,1,0.98
APP-000001-DOC-12-EX-03,APP-000001-DOC-12,APP-000001,condition_rating,C3,1,0.98
APP-000001-DOC-13-EX-01,APP-000001-DOC-13,APP-000001,lien_position,1,1,0.98
APP-000001-DOC-13-EX-02,APP-000001-DOC-13,APP-000001,exception_count,1,1,0.98
APP-000001-DOC-14-EX-01,APP-000001-DOC-14,APP-000001,coverage_amount,320000.00,1,0.98
APP-000001-DOC-14-EX-02,APP-000001-DOC-14,APP-000001,annual_premium,1400.04,1,0.98
APP-000001-DOC-14-EX-03,APP-000001-DOC-14,APP-000001,effective_date,2026-09-02,1,0.98
APP-000002-DOC-01-EX-01,APP-000002-DOC-01,APP-000002,application_id,APP-000002,1,0.98
APP-000002-DOC-01-EX-02,APP-000002-DOC-01,APP-000002,loan_purpose,purchase,1,0.98
APP-000002-DOC-01-EX-03,APP-000002-DOC-01,APP-000002,requested_loan_amount,328000.00,1,0.98
APP-000002-DOC-01-EX-04,APP-000002-DOC-01,APP-000002,occupancy_type,primary_residence,1,0.98
APP-000002-DOC-01-EX-05,APP-000002-DOC-01,APP-000002,declared_monthly_income,9466.67,1,0.98
APP-000002-DOC-02-EX-01,APP-000002-DOC-02,APP-000002,identity_verification_status,VERIFIED,1,0.98
APP-000002-DOC-02-EX-02,APP-000002-DOC-02,APP-000002,verified_name,Priya Lindqvist,1,0.98
APP-000002-DOC-02-EX-03,APP-000002-DOC-02,APP-000002,verified_date_of_birth,1963-12-14,1,0.98
APP-000002-DOC-03-EX-01,APP-000002-DOC-03,APP-000002,score_1,728,1,0.98
APP-000002-DOC-03-EX-02,APP-000002-DOC-03,APP-000002,score_2,742,1,0.98
APP-000002-DOC-03-EX-03,APP-000002-DOC-03,APP-000002,score_3,750,1,0.98
APP-000002-DOC-03-EX-04,APP-000002-DOC-03,APP-000002,report_date,2026-07-22,1,0.98
APP-000002-DOC-03-EX-05,APP-000002-DOC-03,APP-000002,recent_inquiries_90d,1,1,0.98
APP-000002-DOC-04-EX-01,APP-000002-DOC-04,APP-000002,employer_name,Aldermill Retail Group,1,0.98
APP-000002-DOC-04-EX-02,APP-000002-DOC-04,APP-000002,pay_period_end,2026-08-01,1,0.98
APP-000002-DOC-04-EX-03,APP-000002-DOC-04,APP-000002,gross_per_period,4369.23,1,0.98
APP-000002-DOC-04-EX-04,APP-000002-DOC-04,APP-000002,ytd_gross,65538.45,1,0.98
APP-000002-DOC-04-EX-05,APP-000002-DOC-04,APP-000002,pay_frequency,bi_weekly,1,0.98
APP-000002-DOC-05-EX-01,APP-000002-DOC-05,APP-000002,tax_year,2025,1,0.98
APP-000002-DOC-05-EX-02,APP-000002-DOC-05,APP-000002,employer_name,Aldermill Retail Group,1,0.98
APP-000002-DOC-05-EX-03,APP-000002-DOC-05,APP-000002,annual_wages,109624.04,1,0.98
APP-000002-DOC-06-EX-01,APP-000002-DOC-06,APP-000002,employer_name,Aldermill Retail Group,1,0.98
APP-000002-DOC-06-EX-02,APP-000002-DOC-06,APP-000002,employment_start_date,2022-02-12,1,0.98
APP-000002-DOC-06-EX-03,APP-000002-DOC-06,APP-000002,employment_status,Current,1,0.98
APP-000002-DOC-06-EX-04,APP-000002-DOC-06,APP-000002,position,Store Manager,1,0.98
APP-000002-DOC-07-EX-01,APP-000002-DOC-07,APP-000002,institution,Sablefield Trust,1,0.98
APP-000002-DOC-07-EX-02,APP-000002-DOC-07,APP-000002,account_masked,******0005,1,0.98
APP-000002-DOC-07-EX-03,APP-000002-DOC-07,APP-000002,closing_balance,32751.78,1,0.98
APP-000002-DOC-07-EX-04,APP-000002-DOC-07,APP-000002,statement_period_end,2026-08-03,1,0.98
APP-000002-DOC-08-EX-01,APP-000002-DOC-08,APP-000002,institution,Sablefield Trust,1,0.98
APP-000002-DOC-08-EX-02,APP-000002-DOC-08,APP-000002,account_masked,******0006,1,0.98
APP-000002-DOC-08-EX-03,APP-000002-DOC-08,APP-000002,closing_balance,60824.73,1,0.98
APP-000002-DOC-08-EX-04,APP-000002-DOC-08,APP-000002,statement_period_end,2026-08-03,1,0.98
APP-000002-DOC-09-EX-01,APP-000002-DOC-09,APP-000002,verified_balance,3669.86,1,0.98
APP-000002-DOC-09-EX-02,APP-000002-DOC-09,APP-000002,asset_type,brokerage,1,0.98
APP-000002-DOC-10-EX-01,APP-000002-DOC-10,APP-000002,verified_balance,3914.52,1,0.98
APP-000002-DOC-10-EX-02,APP-000002-DOC-10,APP-000002,asset_type,retirement,1,0.98
APP-000002-DOC-11-EX-01,APP-000002-DOC-11,APP-000002,purchase_price,410000.00,1,0.98
APP-000002-DOC-11-EX-02,APP-000002-DOC-11,APP-000002,contract_date,2026-07-17,1,0.98
APP-000002-DOC-11-EX-03,APP-000002-DOC-11,APP-000002,earnest_money,4100.00,1,0.98
APP-000002-DOC-11-EX-04,APP-000002-DOC-11,APP-000002,seller_credits,0,1,0.98
APP-000002-DOC-12-EX-01,APP-000002-DOC-12,APP-000002,appraised_value,418200.00,1,0.98
APP-000002-DOC-12-EX-02,APP-000002-DOC-12,APP-000002,effective_date,2026-07-19,1,0.98
APP-000002-DOC-12-EX-03,APP-000002-DOC-12,APP-000002,condition_rating,C3,1,0.98
APP-000002-DOC-13-EX-01,APP-000002-DOC-13,APP-000002,lien_position,1,1,0.98
APP-000002-DOC-13-EX-02,APP-000002-DOC-13,APP-000002,exception_count,1,1,0.98
APP-000002-DOC-14-EX-01,APP-000002-DOC-14,APP-000002,coverage_amount,328000.00,1,0.98
APP-000002-DOC-14-EX-02,APP-000002-DOC-14,APP-000002,annual_premium,1434.96,1,0.98
APP-000002-DOC-14-EX-03,APP-000002-DOC-14,APP-000002,effective_date,2026-09-02,1,0.98
APP-000003-DOC-01-EX-01,APP-000003-DOC-01,APP-000003,application_id,APP-000003,1,0.98
APP-000003-DOC-01-EX-02,APP-000003-DOC-01,APP-000003,loan_purpose,purchase,1,0.98
APP-000003-DOC-01-EX-03,APP-000003-DOC-01,APP-000003,requested_loan_amount,432000.00,1,0.98
APP-000003-DOC-01-EX-04,APP-000003-DOC-01,APP-000003,occupancy_type,primary_residence,1,0.98
APP-000003-DOC-01-EX-05,APP-000003-DOC-01,APP-000003,declared_monthly_income,11241.67,1,0.98
APP-000003-DOC-02-EX-01,APP-000003-DOC-02,APP-000003,identity_verification_status,VERIFIED,1,0.98
APP-000003-DOC-02-EX-02,APP-000003-DOC-02,APP-000003,verified_name,Ingrid Vasquez,1,0.98
APP-000003-DOC-02-EX-03,APP-000003-DOC-02,APP-000003,verified_date_of_birth,1973-07-19,1,0.98
APP-000003-DOC-03-EX-01,APP-000003-DOC-03,APP-000003,score_1,587,1,0.98
APP-000003-DOC-03-EX-02,APP-000003-DOC-03,APP-000003,score_2,598,1,0.98
APP-000003-DOC-03-EX-03,APP-000003-DOC-03,APP-000003,score_3,608,1,0.98
APP-000003-DOC-03-EX-04,APP-000003-DOC-03,APP-000003,report_date,2026-07-22,1,0.98
APP-000003-DOC-03-EX-05,APP-000003-DOC-03,APP-000003,recent_inquiries_90d,1,1,0.98
APP-000003-DOC-04-EX-01,APP-000003-DOC-04,APP-000003,employer_name,Pinewater Utilities District,1,0.98
APP-000003-DOC-04-EX-02,APP-000003-DOC-04,APP-000003,pay_period_end,2026-08-01,1,0.98
APP-000003-DOC-04-EX-03,APP-000003-DOC-04,APP-000003,gross_per_period,5188.46,1,0.98
APP-000003-DOC-04-EX-04,APP-000003-DOC-04,APP-000003,ytd_gross,77826.90,1,0.98
APP-000003-DOC-04-EX-05,APP-000003-DOC-04,APP-000003,pay_frequency,bi_weekly,1,0.98
APP-000003-DOC-05-EX-01,APP-000003-DOC-05,APP-000003,tax_year,2025,1,0.98
APP-000003-DOC-05-EX-02,APP-000003-DOC-05,APP-000003,employer_name,Pinewater Utilities District,1,0.98
APP-000003-DOC-05-EX-03,APP-000003-DOC-05,APP-000003,annual_wages,130178.54,1,0.98
APP-000003-DOC-06-EX-01,APP-000003-DOC-06,APP-000003,employer_name,Pinewater Utilities District,1,0.98
APP-000003-DOC-06-EX-02,APP-000003-DOC-06,APP-000003,employment_start_date,2022-02-12,1,0.98
APP-000003-DOC-06-EX-03,APP-000003-DOC-06,APP-000003,employment_status,Current,1,0.98
APP-000003-DOC-06-EX-04,APP-000003-DOC-06,APP-000003,position,Grid Technician,1,0.98
APP-000003-DOC-07-EX-01,APP-000003-DOC-07,APP-000003,institution,Cascade Mutual Credit Union,1,0.98
APP-000003-DOC-07-EX-02,APP-000003-DOC-07,APP-000003,account_masked,******0009,1,0.98
APP-000003-DOC-07-EX-03,APP-000003-DOC-07,APP-000003,closing_balance,40555.19,1,0.98
APP-000003-DOC-07-EX-04,APP-000003-DOC-07,APP-000003,statement_period_end,2026-08-03,1,0.98
APP-000003-DOC-08-EX-01,APP-000003-DOC-08,APP-000003,institution,Cascade Mutual Credit Union,1,0.98
APP-000003-DOC-08-EX-02,APP-000003-DOC-08,APP-000003,account_masked,******0010,1,0.98
APP-000003-DOC-08-EX-03,APP-000003-DOC-08,APP-000003,closing_balance,75316.79,1,0.98
APP-000003-DOC-08-EX-04,APP-000003-DOC-08,APP-000003,statement_period_end,2026-08-03,1,0.98
APP-000003-DOC-09-EX-01,APP-000003-DOC-09,APP-000003,verified_balance,8148.23,1,0.98
APP-000003-DOC-09-EX-02,APP-000003-DOC-09,APP-000003,asset_type,brokerage,1,0.98
APP-000003-DOC-10-EX-01,APP-000003-DOC-10,APP-000003,verified_balance,8691.43,1,0.98
APP-000003-DOC-10-EX-02,APP-000003-DOC-10,APP-000003,asset_type,retirement,1,0.98
APP-000003-DOC-11-EX-01,APP-000003-DOC-11,APP-000003,purchase_price,540000.00,1,0.98
APP-000003-DOC-11-EX-02,APP-000003-DOC-11,APP-000003,contract_date,2026-07-17,1,0.98
APP-000003-DOC-11-EX-03,APP-000003-DOC-11,APP-000003,earnest_money,5400.00,1,0.98
APP-000003-DOC-11-EX-04,APP-000003-DOC-11,APP-000003,seller_credits,10800.00,1,0.98
APP-000003-DOC-12-EX-01,APP-000003-DOC-12,APP-000003,appraised_value,550800.00,1,0.98
APP-000003-DOC-12-EX-02,APP-000003-DOC-12,APP-000003,effective_date,2026-07-19,1,0.98
APP-000003-DOC-12-EX-03,APP-000003-DOC-12,APP-000003,condition_rating,C3,1,0.98
APP-000003-DOC-13-EX-01,APP-000003-DOC-13,APP-000003,lien_position,1,1,0.98
APP-000003-DOC-13-EX-02,APP-000003-DOC-13,APP-000003,exception_count,1,1,0.98
APP-000003-DOC-14-EX-01,APP-000003-DOC-14,APP-000003,coverage_amount,432000.00,1,0.98
APP-000003-DOC-14-EX-02,APP-000003-DOC-14,APP-000003,annual_premium,1890.00,1,0.98
APP-000003-DOC-14-EX-03,APP-000003-DOC-14,APP-000003,effective_date,2026-09-02,1,0.98
APP-000004-DOC-01-EX-01,APP-000004-DOC-01,APP-000004,application_id,APP-000004,1,0.98
APP-000004-DOC-01-EX-02,APP-000004-DOC-01,APP-000004,loan_purpose,purchase,1,0.98
APP-000004-DOC-01-EX-03,APP-000004-DOC-01,APP-000004,requested_loan_amount,304000.00,1,0.98
APP-000004-DOC-01-EX-04,APP-000004-DOC-01,APP-000004,occupancy_type,primary_residence,1,0.98
APP-000004-DOC-01-EX-05,APP-000004-DOC-01,APP-000004,declared_monthly_income,7900.00,1,0.98
APP-000004-DOC-02-EX-01,APP-000004-DOC-02,APP-000004,identity_verification_status,VERIFIED,1,0.98
APP-000004-DOC-02-EX-02,APP-000004-DOC-02,APP-000004,verified_name,Bianca Kirilenko,1,0.98
APP-000004-DOC-02-EX-03,APP-000004-DOC-02,APP-000004,verified_date_of_birth,1976-12-12,1,0.98
APP-000004-DOC-03-EX-01,APP-000004-DOC-03,APP-000004,score_1,734,1,0.98
APP-000004-DOC-03-EX-02,APP-000004-DOC-03,APP-000004,score_2,742,1,0.98
APP-000004-DOC-03-EX-03,APP-000004-DOC-03,APP-000004,score_3,746,1,0.98
APP-000004-DOC-03-EX-04,APP-000004-DOC-03,APP-000004,report_date,2026-07-22,1,0.98
APP-000004-DOC-03-EX-05,APP-000004-DOC-03,APP-000004,recent_inquiries_90d,1,1,0.98
APP-000004-DOC-04-EX-01,APP-000004-DOC-04,APP-000004,employer_name,Meridian Civic Health,1,0.98
APP-000004-DOC-04-EX-02,APP-000004-DOC-04,APP-000004,pay_period_end,2026-08-01,1,0.98
APP-000004-DOC-04-EX-03,APP-000004-DOC-04,APP-000004,gross_per_period,3646.15,1,0.98
APP-000004-DOC-04-EX-04,APP-000004-DOC-04,APP-000004,ytd_gross,54692.25,1,0.98
APP-000004-DOC-04-EX-05,APP-000004-DOC-04,APP-000004,pay_frequency,bi_weekly,1,0.98
APP-000004-DOC-05-EX-01,APP-000004-DOC-05,APP-000004,tax_year,2025,1,0.98
APP-000004-DOC-05-EX-02,APP-000004-DOC-05,APP-000004,employer_name,Meridian Civic Health,1,0.98
APP-000004-DOC-05-EX-03,APP-000004-DOC-05,APP-000004,annual_wages,91482.00,1,0.98
APP-000004-DOC-06-EX-01,APP-000004-DOC-06,APP-000004,employer_name,Meridian Civic Health,1,0.98
APP-000004-DOC-06-EX-02,APP-000004-DOC-06,APP-000004,employment_start_date,2022-02-12,1,0.98
APP-000004-DOC-06-EX-03,APP-000004-DOC-06,APP-000004,employment_status,Current,1,0.98
APP-000004-DOC-06-EX-04,APP-000004-DOC-06,APP-000004,position,Clinical Technologist,1,0.98
APP-000004-DOC-07-EX-01,APP-000004-DOC-07,APP-000004,institution,Cascade Mutual Credit Union,1,0.98
APP-000004-DOC-07-EX-02,APP-000004-DOC-07,APP-000004,account_masked,******0013,1,0.98
APP-000004-DOC-07-EX-03,APP-000004-DOC-07,APP-000004,closing_balance,26646.81,1,0.98
APP-000004-DOC-07-EX-04,APP-000004-DOC-07,APP-000004,statement_period_end,2026-08-03,1,0.98
APP-000004-DOC-08-EX-01,APP-000004-DOC-08,APP-000004,institution,Cascade Mutual Credit Union,1,0.98
APP-000004-DOC-08-EX-02,APP-000004-DOC-08,APP-000004,account_masked,******0014,1,0.98
APP-000004-DOC-08-EX-03,APP-000004-DOC-08,APP-000004,closing_balance,49486.94,1,0.98
APP-000004-DOC-08-EX-04,APP-000004-DOC-08,APP-000004,statement_period_end,2026-08-03,1,0.98
APP-000004-DOC-09-EX-01,APP-000004-DOC-09,APP-000004,verified_balance,2221.48,1,0.98
APP-000004-DOC-09-EX-02,APP-000004-DOC-09,APP-000004,asset_type,brokerage,1,0.98
APP-000004-DOC-10-EX-01,APP-000004-DOC-10,APP-000004,verified_balance,2369.57,1,0.98
APP-000004-DOC-10-EX-02,APP-000004-DOC-10,APP-000004,asset_type,retirement,1,0.98
APP-000004-DOC-11-EX-01,APP-000004-DOC-11,APP-000004,purchase_price,380000.00,1,0.98
APP-000004-DOC-11-EX-02,APP-000004-DOC-11,APP-000004,contract_date,2026-07-17,1,0.98
APP-000004-DOC-11-EX-03,APP-000004-DOC-11,APP-000004,earnest_money,3800.00,1,0.98
APP-000004-DOC-11-EX-04,APP-000004-DOC-11,APP-000004,seller_credits,7600.00,1,0.98
APP-000004-DOC-12-EX-01,APP-000004-DOC-12,APP-000004,appraised_value,387600.00,1,0.98
APP-000004-DOC-12-EX-02,APP-000004-DOC-12,APP-000004,effective_date,2026-07-19,1,0.98
APP-000004-DOC-12-EX-03,APP-000004-DOC-12,APP-000004,condition_rating,C3,1,0.98
APP-000004-DOC-13-EX-01,APP-000004-DOC-13,APP-000004,lien_position,1,1,0.98
APP-000004-DOC-13-EX-02,APP-000004-DOC-13,APP-000004,exception_count,1,1,0.98
APP-000004-DOC-14-EX-01,APP-000004-DOC-14,APP-000004,coverage_amount,304000.00,1,0.98
APP-000004-DOC-14-EX-02,APP-000004-DOC-14,APP-000004,annual_premium,1329.96,1,0.98
APP-000004-DOC-14-EX-03,APP-000004-DOC-14,APP-000004,effective_date,2026-09-02,1,0.98
APP-000005-DOC-01-EX-01,APP-000005-DOC-01,APP-000005,application_id,APP-000005,1,0.98
APP-000005-DOC-01-EX-02,APP-000005-DOC-01,APP-000005,loan_purpose,purchase,1,0.98
APP-000005-DOC-01-EX-03,APP-000005-DOC-01,APP-000005,requested_loan_amount,485000.00,1,0.98
APP-000005-DOC-01-EX-04,APP-000005-DOC-01,APP-000005,occupancy_type,primary_residence,1,0.98
APP-000005-DOC-01-EX-05,APP-000005-DOC-01,APP-000005,declared_monthly_income,13341.67,1,0.98
APP-000005-DOC-02-EX-01,APP-000005-DOC-02,APP-000005,identity_verification_status,VERIFIED,1,0.98
APP-000005-DOC-02-EX-02,APP-000005-DOC-02,APP-000005,verified_name,Talia Okafor,1,0.98
APP-000005-DOC-02-EX-03,APP-000005-DOC-02,APP-000005,verified_date_of_birth,1960-02-11,1,0.98
APP-000005-DOC-03-EX-01,APP-000005-DOC-03,APP-000005,score_1,683,1,0.98
APP-000005-DOC-03-EX-02,APP-000005-DOC-03,APP-000005,score_2,688,1,0.98
APP-000005-DOC-03-EX-03,APP-000005-DOC-03,APP-000005,score_3,695,1,0.98
APP-000005-DOC-03-EX-04,APP-000005-DOC-03,APP-000005,report_date,2026-07-22,1,0.98
APP-000005-DOC-03-EX-05,APP-000005-DOC-03,APP-000005,recent_inquiries_90d,1,1,0.98
APP-000005-DOC-04-EX-01,APP-000005-DOC-04,APP-000005,employer_name,Orchard Point Hospitality,1,0.98
APP-000005-DOC-04-EX-02,APP-000005-DOC-04,APP-000005,pay_period_end,2026-08-01,1,0.98
APP-000005-DOC-04-EX-03,APP-000005-DOC-04,APP-000005,gross_per_period,3571.46,1,0.98
APP-000005-DOC-04-EX-04,APP-000005-DOC-04,APP-000005,ytd_gross,53571.90,1,0.98
APP-000005-DOC-04-EX-05,APP-000005-DOC-04,APP-000005,pay_frequency,bi_weekly,1,0.98
APP-000005-DOC-05-EX-01,APP-000005-DOC-05,APP-000005,tax_year,2025,1,0.98
APP-000005-DOC-05-EX-02,APP-000005-DOC-05,APP-000005,employer_name,Orchard Point Hospitality,1,0.98
APP-000005-DOC-05-EX-03,APP-000005-DOC-05,APP-000005,annual_wages,89608.01,1,0.98
APP-000005-DOC-06-EX-01,APP-000005-DOC-06,APP-000005,employer_name,Orchard Point Hospitality,1,0.98
APP-000005-DOC-06-EX-02,APP-000005-DOC-06,APP-000005,employment_start_date,2022-02-12,1,0.98
APP-000005-DOC-06-EX-03,APP-000005-DOC-06,APP-000005,employment_status,Current,1,0.98
APP-000005-DOC-06-EX-04,APP-000005-DOC-06,APP-000005,position,Events Director,1,0.98
APP-000005-DOC-07-EX-01,APP-000005-DOC-07,APP-000005,employer_name,Harborline Logistics,1,0.98
APP-000005-DOC-07-EX-02,APP-000005-DOC-07,APP-000005,pay_period_end,2026-08-01,1,0.98
APP-000005-DOC-07-EX-03,APP-000005-DOC-07,APP-000005,gross_per_period,2586.23,1,0.98
APP-000005-DOC-07-EX-04,APP-000005-DOC-07,APP-000005,ytd_gross,38793.45,1,0.98
APP-000005-DOC-07-EX-05,APP-000005-DOC-07,APP-000005,pay_frequency,bi_weekly,1,0.98
APP-000005-DOC-08-EX-01,APP-000005-DOC-08,APP-000005,tax_year,2025,1,0.98
APP-000005-DOC-08-EX-02,APP-000005-DOC-08,APP-000005,employer_name,Harborline Logistics,1,0.98
APP-000005-DOC-08-EX-03,APP-000005-DOC-08,APP-000005,annual_wages,64888.53,1,0.98
APP-000005-DOC-09-EX-01,APP-000005-DOC-09,APP-000005,employer_name,Harborline Logistics,1,0.98
APP-000005-DOC-09-EX-02,APP-000005-DOC-09,APP-000005,employment_start_date,2022-09-12,1,0.98
APP-000005-DOC-09-EX-03,APP-000005-DOC-09,APP-000005,employment_status,Current,1,0.98
APP-000005-DOC-09-EX-04,APP-000005-DOC-09,APP-000005,position,Warehouse Planner,1,0.98
APP-000005-DOC-10-EX-01,APP-000005-DOC-10,APP-000005,institution,Cascade Mutual Credit Union,1,0.98
APP-000005-DOC-10-EX-02,APP-000005-DOC-10,APP-000005,account_masked,******0017,1,0.98
APP-000005-DOC-10-EX-03,APP-000005-DOC-10,APP-000005,closing_balance,10054.70,1,0.98
APP-000005-DOC-10-EX-04,APP-000005-DOC-10,APP-000005,statement_period_end,2026-08-03,1,0.98
APP-000005-DOC-11-EX-01,APP-000005-DOC-11,APP-000005,institution,Cascade Mutual Credit Union,1,0.98
APP-000005-DOC-11-EX-02,APP-000005-DOC-11,APP-000005,account_masked,******0018,1,0.98
APP-000005-DOC-11-EX-03,APP-000005-DOC-11,APP-000005,closing_balance,18673.01,1,0.98
APP-000005-DOC-11-EX-04,APP-000005-DOC-11,APP-000005,statement_period_end,2026-08-03,1,0.98
APP-000005-DOC-12-EX-01,APP-000005-DOC-12,APP-000005,verified_balance,4835.56,1,0.98
APP-000005-DOC-12-EX-02,APP-000005-DOC-12,APP-000005,asset_type,brokerage,1,0.98
APP-000005-DOC-13-EX-01,APP-000005-DOC-13,APP-000005,verified_balance,5157.93,1,0.98
APP-000005-DOC-13-EX-02,APP-000005-DOC-13,APP-000005,asset_type,retirement,1,0.98
APP-000005-DOC-14-EX-01,APP-000005-DOC-14,APP-000005,purchase_price,500000.00,1,0.98
APP-000005-DOC-14-EX-02,APP-000005-DOC-14,APP-000005,contract_date,2026-07-17,1,0.98
APP-000005-DOC-14-EX-03,APP-000005-DOC-14,APP-000005,earnest_money,5000.00,1,0.98
APP-000005-DOC-14-EX-04,APP-000005-DOC-14,APP-000005,seller_credits,0,1,0.98
APP-000005-DOC-15-EX-01,APP-000005-DOC-15,APP-000005,appraised_value,510000.00,1,0.98
APP-000005-DOC-15-EX-02,APP-000005-DOC-15,APP-000005,effective_date,2026-07-19,1,0.98
APP-000005-DOC-15-EX-03,APP-000005-DOC-15,APP-000005,condition_rating,C3,1,0.98
APP-000005-DOC-16-EX-01,APP-000005-DOC-16,APP-000005,lien_position,1,1,0.98
APP-000005-DOC-16-EX-02,APP-000005-DOC-16,APP-000005,exception_count,1,1,0.98
APP-000005-DOC-17-EX-01,APP-000005-DOC-17,APP-000005,coverage_amount,485000.00,1,0.98
APP-000005-DOC-17-EX-02,APP-000005-DOC-17,APP-000005,annual_premium,1749.96,1,0.98
APP-000005-DOC-17-EX-03,APP-000005-DOC-17,APP-000005,effective_date,2026-09-02,1,0.98
APP-000006-DOC-01-EX-01,APP-000006-DOC-01,APP-000006,application_id,APP-000006,1,0.98
APP-000006-DOC-01-EX-02,APP-000006-DOC-01,APP-000006,loan_purpose,purchase,1,0.98
APP-000006-DOC-01-EX-03,APP-000006-DOC-01,APP-000006,requested_loan_amount,312000.00,1,0.98
APP-000006-DOC-01-EX-04,APP-000006-DOC-01,APP-000006,occupancy_type,primary_residence,1,0.98
APP-000006-DOC-01-EX-05,APP-000006-DOC-01,APP-000006,declared_monthly_income,9025.00,1,0.98
APP-000006-DOC-02-EX-01,APP-000006-DOC-02,APP-000006,identity_verification_status,VERIFIED,1,0.98
APP-000006-DOC-02-EX-02,APP-000006-DOC-02,APP-000006,verified_name,Emeka Underhill,1,0.98
