application_id,scenario_id,application_date,underwriting_as_of_date,received_date,channel,loan_purpose,product_family,occupancy_type,borrower_count,primary_borrower_id,application_status,loan_officer_id,loan_officer_identifier_type,household_size
APP-000012,SCN-012,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000013,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000013,SCN-013,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000014,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000014,SCN-014,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000016,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000015,SCN-015,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000017,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000016,SCN-016,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000019,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000017,SCN-017,2026-08-12,2026-08-12,2026-08-03,retail,purchase,jumbo,primary_residence,1,BORR-000020,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000018,SCN-018,2026-09-04,2026-09-04,2026-08-26,retail,purchase,jumbo,primary_residence,1,BORR-000021,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000019,SCN-019,2026-08-12,2026-08-12,2026-08-03,retail,purchase,fha,primary_residence,2,BORR-000022,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000020,SCN-020,2026-08-12,2026-08-12,2026-08-03,retail,purchase,va,primary_residence,1,BORR-000024,in_underwriting,MLO-0417,synthetic unique identifier,4
APP-000021,SCN-021,2026-08-12,2026-08-12,2026-08-03,retail,purchase,usda,primary_residence,1,BORR-000025,in_underwriting,MLO-0417,synthetic unique identifier,3
APP-000022,SCN-022,2026-08-12,2026-08-12,2026-08-03,retail,rate_term_refinance,conventional_conforming,primary_residence,2,BORR-000026,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000023,SCN-023,2026-08-12,2026-08-12,2026-08-03,retail,cash_out_refinance,conventional_conforming,primary_residence,2,BORR-000028,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000024,SCN-024,2026-08-12,2026-08-12,2026-08-03,retail,cash_out_refinance,conventional_conforming,primary_residence,1,BORR-000030,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000025,SCN-025,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,second_home,1,BORR-000031,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000026,SCN-026,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,investment,1,BORR-000032,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000027,SCN-027,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000033,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000028,SCN-028,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000035,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000029,SCN-029,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000036,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000030,SCN-030,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000037,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000031,SCN-031,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000038,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000032,SCN-032,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000039,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000033,SCN-033,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000040,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000034,SCN-034,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000041,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000035,SCN-035,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000042,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000036,SCN-036,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000043,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000037,SCN-037,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000045,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000038,SCN-038,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000046,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000039,SCN-039,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000047,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000040,SCN-040,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000048,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000041,SCN-041,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000049,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000042,SCN-042,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000050,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000043,SCN-043,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000051,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000044,SCN-044,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000052,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000045,SCN-045,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000053,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000046,SCN-046,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000055,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000047,SCN-047,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,2,BORR-000056,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000048,SCN-048,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000058,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000049,SCN-049,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000059,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000050,SCN-050,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000060,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000051,SCN-051,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000062,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000052,SCN-052,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000063,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000053,SCN-053,2026-06-25,2026-06-25,2026-06-16,retail,purchase,conventional_conforming,primary_residence,1,BORR-000064,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000054,SCN-054,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000065,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000055,SCN-055,2026-06-25,2026-06-25,2026-06-16,retail,purchase,conventional_conforming,primary_residence,1,BORR-000066,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000056,SCN-056,2026-07-08,2026-07-08,2026-06-29,retail,purchase,conventional_conforming,primary_residence,1,BORR-000067,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000057,SCN-057,2026-07-08,2026-07-08,2026-06-29,retail,purchase,conventional_conforming,primary_residence,2,BORR-000068,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000058,SCN-058,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000070,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000059,SCN-059,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000071,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000060,SCN-060,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000072,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000061,SCN-061,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000073,in_underwriting,MLO-0417,synthetic unique identifier,3
APP-000062,SCN-062,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000075,in_underwriting,MLO-0417,synthetic unique identifier,4
APP-000063,SCN-063,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000001,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000064,SCN-064,2026-09-04,2026-09-04,2026-08-26,retail,purchase,conventional_conforming,primary_residence,1,BORR-000011,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000065,SCN-065,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000077,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000066,SCN-066,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000079,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000067,SCN-067,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000080,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000068,SCN-068,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000081,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000069,SCN-069,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000082,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000070,SCN-070,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000083,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000071,SCN-071,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000084,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000072,SCN-072,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000086,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000073,SCN-073,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,2,BORR-000087,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000074,SCN-074,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000089,in_underwriting,MLO-0417,synthetic unique identifier,2
APP-000075,SCN-075,2026-08-12,2026-08-12,2026-08-03,retail,purchase,conventional_conforming,primary_residence,1,BORR-000090,in_underwriting,MLO-0417,synthetic unique identifier,2
