property_id,application_id,street,city,state,postal_code,property_type,units,occupancy_type,purchase_price,appraised_value,value_used_for_ltv,valuation_method,annual_property_tax,annual_hazard_premium,monthly_hoa,flood_zone,flood_zone_sfha,ownership_months
APP-000027-PROP,APP-000027,2829 Copperbeech Drive,Coral Springs,FL,33071,single_family_detached,1,primary_residence,480000.00,489600.00,480000.00,full_appraisal,4272.00,1680.00,0,X,false,
APP-000028-PROP,APP-000028,2325 Foxglove Terrace,Beaverton,OR,97006,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,3783.00,1365.00,0,X,false,
APP-000029-PROP,APP-000029,2325 Copperbeech Drive,Plano,TX,75024,single_family_detached,1,primary_residence,550000.00,561000.00,550000.00,full_appraisal,9954.96,1925.04,0,X,false,
APP-000030-PROP,APP-000030,2892 Ambersley Road,Rochester Hills,MI,48307,single_family_detached,1,primary_residence,460000.00,469200.00,460000.00,full_appraisal,7083.96,1610.04,0,X,false,
APP-000031-PROP,APP-000031,2364 Wrenfield Way,Overland Park,KS,66210,single_family_detached,1,primary_residence,530000.00,540600.00,530000.00,full_appraisal,7473.00,1854.96,0,X,false,
APP-000032-PROP,APP-000032,2611 Hazeldene Court,Overland Park,KS,66210,single_family_detached,1,primary_residence,470000.00,479400.00,470000.00,full_appraisal,6627.00,1644.96,0,X,false,
APP-000033-PROP,APP-000033,2786 Kingsmere Lane,Coral Springs,FL,33071,single_family_detached,1,primary_residence,510000.00,520200.00,510000.00,full_appraisal,4539.00,1785.00,0,X,false,
APP-000034-PROP,APP-000034,2681 Copperbeech Drive,Plano,TX,75024,single_family_detached,1,primary_residence,380000.00,387600.00,380000.00,full_appraisal,6878.04,1329.96,0,X,false,
APP-000035-PROP,APP-000035,2678 Marlowe Crossing,Beaverton,OR,97006,single_family_detached,1,primary_residence,560000.00,571200.00,560000.00,full_appraisal,5432.04,1959.96,0,X,false,
APP-000036-PROP,APP-000036,2579 Sablecrest Drive,Cary,NC,27513,single_family_detached,1,primary_residence,470000.00,479400.00,470000.00,full_appraisal,3666.00,1644.96,0,X,false,
APP-000037-PROP,APP-000037,2495 Sablecrest Drive,Chandler,AZ,85224,single_family_detached,1,primary_residence,400000.00,408000.00,400000.00,full_appraisal,2520.00,1400.04,0,X,false,
APP-000038-PROP,APP-000038,2259 Sablecrest Drive,Cary,NC,27513,single_family_detached,1,primary_residence,400000.00,408000.00,400000.00,full_appraisal,3120.00,1400.04,0,X,false,
APP-000039-PROP,APP-000039,2419 Sablecrest Drive,Broomfield,CO,80020,single_family_detached,1,primary_residence,430000.00,438600.00,430000.00,full_appraisal,2364.96,1505.04,0,X,false,
APP-000040-PROP,APP-000040,2278 Kingsmere Lane,Cranston,RI,02910,single_family_detached,1,primary_residence,460000.00,469200.00,460000.00,full_appraisal,6440.04,1610.04,0,X,false,
APP-000041-PROP,APP-000041,2343 Hazeldene Court,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,520000.00,530400.00,520000.00,full_appraisal,3795.96,1820.04,0,X,false,
APP-000042-PROP,APP-000042,2674 Marlowe Crossing,Beaverton,OR,97006,single_family_detached,1,primary_residence,500000.00,510000.00,500000.00,full_appraisal,4850.04,1749.96,0,X,false,
APP-000043-PROP,APP-000043,2793 Foxglove Terrace,Plano,TX,75024,single_family_detached,1,primary_residence,420000.00,428400.00,420000.00,full_appraisal,7602.00,1470.00,0,X,false,
APP-000044-PROP,APP-000044,2208 Ambersley Road,Bellevue,WA,98004,single_family_detached,1,primary_residence,530000.00,540600.00,530000.00,full_appraisal,4875.96,1854.96,0,X,false,
APP-000045-PROP,APP-000045,2495 Sablecrest Drive,Broomfield,CO,80020,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,2145.00,1365.00,0,X,false,
APP-000046-PROP,APP-000046,2582 Marlowe Crossing,Plano,TX,75024,single_family_detached,1,primary_residence,490000.00,499800.00,490000.00,full_appraisal,8868.96,1715.04,0,X,false,
APP-000047-PROP,APP-000047,2885 Copperbeech Drive,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,520000.00,530400.00,520000.00,full_appraisal,3795.96,1820.04,0,AE,true,
APP-000048-PROP,APP-000048,2758 Kingsmere Lane,Naperville,IL,60540,single_family_detached,1,primary_residence,540000.00,550800.00,540000.00,full_appraisal,11232.00,1890.00,0,AE,true,
APP-000049-PROP,APP-000049,2402 Marlowe Crossing,Sugar Land,TX,77479,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,7059.00,1365.00,0,X,false,
APP-000050-PROP,APP-000050,2363 Sablecrest Drive,Rochester Hills,MI,48307,single_family_detached,1,primary_residence,510000.00,479400.00,479400.00,full_appraisal,7382.76,1677.96,0,X,false,
APP-000051-PROP,APP-000051,2337 Copperbeech Drive,Naperville,IL,60540,single_family_detached,1,primary_residence,440000.00,448800.00,440000.00,full_appraisal,9152.04,1539.96,0,X,false,
APP-000052-PROP,APP-000052,2721 Copperbeech Drive,Plano,TX,75024,single_family_detached,1,primary_residence,410000.00,418200.00,410000.00,value_acceptance,7421.04,1434.96,0,X,false,
APP-000053-PROP,APP-000053,2439 Hazeldene Court,Bellevue,WA,98004,single_family_detached,1,primary_residence,560000.00,571200.00,560000.00,value_acceptance,5151.96,1959.96,0,X,false,
APP-000054-PROP,APP-000054,2228 Wrenfield Way,Sugar Land,TX,77479,single_family_detached,1,primary_residence,420000.00,428400.00,420000.00,full_appraisal,7602.00,1470.00,0,X,false,
APP-000055-PROP,APP-000055,2767 Sablecrest Drive,Plano,TX,75024,single_family_detached,1,primary_residence,430000.00,438600.00,430000.00,full_appraisal,7782.96,1505.04,0,X,false,
APP-000056-PROP,APP-000056,2670 Kingsmere Lane,Sugar Land,TX,77479,single_family_detached,1,primary_residence,470000.00,479400.00,470000.00,full_appraisal,8507.04,1644.96,0,X,false,
APP-000057-PROP,APP-000057,2546 Kingsmere Lane,Beaverton,OR,97006,single_family_detached,1,primary_residence,480000.00,489600.00,480000.00,full_appraisal,4656.00,1680.00,0,X,false,
APP-000058-PROP,APP-000058,2412 Wrenfield Way,Sandy Springs,GA,30328,single_family_detached,1,primary_residence,530000.00,540600.00,530000.00,full_appraisal,4875.96,1854.96,0,X,false,
APP-000059-PROP,APP-000059,2723 Hazeldene Court,Overland Park,KS,66210,single_family_detached,1,primary_residence,440000.00,448800.00,440000.00,full_appraisal,6204.00,1539.96,0,X,false,
APP-000060-PROP,APP-000060,2224 Wrenfield Way,Naperville,IL,60540,single_family_detached,1,primary_residence,480000.00,489600.00,480000.00,full_appraisal,9984.00,1680.00,0,X,false,
APP-000061-PROP,APP-000061,2431 Hazeldene Court,Cary,NC,27513,single_family_detached,1,primary_residence,520000.00,530400.00,520000.00,full_appraisal,4056.00,1820.04,0,X,false,
APP-000062-PROP,APP-000062,2842 Marlowe Crossing,Chandler,AZ,85224,single_family_detached,1,primary_residence,540000.00,550800.00,540000.00,full_appraisal,3402.00,1890.00,0,X,false,
APP-000063-PROP,APP-000063,2809 Copperbeech Drive,Yorba Linda,CA,92886,single_family_detached,1,primary_residence,660000.00,673200.00,660000.00,full_appraisal,4818.00,2310.00,0,X,false,
APP-000064-PROP,APP-000064,2416 Wrenfield Way,Overland Park,KS,66210,single_family_detached,1,primary_residence,470000.00,479400.00,470000.00,full_appraisal,6627.00,1644.96,0,X,false,
APP-000065-PROP,APP-000065,2526 Marlowe Crossing,Sugar Land,TX,77479,single_family_detached,1,primary_residence,380000.00,387600.00,380000.00,full_appraisal,6878.04,1329.96,0,X,false,
APP-000066-PROP,APP-000066,2773 Copperbeech Drive,Broomfield,CO,80020,single_family_detached,1,primary_residence,460000.00,469200.00,460000.00,full_appraisal,2529.96,1610.04,0,X,false,
APP-000067-PROP,APP-000067,2264 Wrenfield Way,Plano,TX,75024,single_family_detached,1,primary_residence,540000.00,550800.00,540000.00,full_appraisal,9774.00,1890.00,0,X,false,
APP-000068-PROP,APP-000068,2253 Foxglove Terrace,Chandler,AZ,85224,single_family_detached,1,primary_residence,450000.00,459000.00,450000.00,full_appraisal,2835.00,1575.00,0,X,false,
APP-000069-PROP,APP-000069,2618 Kingsmere Lane,Chandler,AZ,85224,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,2457.00,1365.00,0,X,false,
APP-000070-PROP,APP-000070,2493 Copperbeech Drive,Cary,NC,27513,single_family_detached,1,primary_residence,390000.00,397800.00,390000.00,full_appraisal,3042.00,1365.00,0,X,false,
APP-000071-PROP,APP-000071,2461 Copperbeech Drive,Naperville,IL,60540,single_family_detached,1,primary_residence,430000.00,438600.00,430000.00,full_appraisal,8943.96,1505.04,0,X,false,
APP-000072-PROP,APP-000072,2440 Ambersley Road,Nashua,NH,03062,single_family_detached,1,primary_residence,420000.00,428400.00,420000.00,full_appraisal,8778.00,1470.00,0,X,false,
APP-000073-PROP,APP-000073,2457 Foxglove Terrace,Overland Park,KS,66210,two_to_four_unit,2,primary_residence,440000.00,448800.00,440000.00,full_appraisal,6204.00,1539.96,0,X,false,
APP-000074-PROP,APP-000074,2722 Marlowe Crossing,Broomfield,CO,80020,condominium,1,primary_residence,440000.00,448800.00,440000.00,full_appraisal,2420.04,1539.96,285.00,X,false,
APP-000075-PROP,APP-000075,2480 Ambersley Road,Plano,TX,75024,single_family_detached,1,primary_residence,250000.00,255000.00,250000.00,full_appraisal,4524.96,875.04,0,X,false,
